Season,From,To,Business entity,Meter IEC long number,Site name,Customer name,Site ID,Tariff ID,Discount from GC peak,Discount from GC off-peak,Discount from full tariff peak,Discount from full tariff off-peak,Priority,Contract number,Meter connection,KVA,Transformer unit,Peak consumption,Off-peak consumption,TOU tariff peak,TOU tariff off-peak,GC tariff peak,GC tariff off-peak,Minimum tariff peak,Minimum tariff off-peak,Tariff with discount peak,Tariff with discount off-peak,KVA cost,Distribution,Supply,Consumption with discount peak,Consumption with discount off-peak,Consumption without discount peak,Consumption without discount off-peak,Consumption without discount max consumption peak,Consumption without discount max consumption off-peak,Consumption without discount power plant constraint peak,Consumption without discount power plant constraint off-peak,Cost with discount peak,Cost with discount off-peak,Cost without discount peak,Cost without discount off-peak,Cost without discount max consumption peak,Cost without discount max consumption off-peak,Cost without discount power plant constraint peak,Cost without discount power plant constraints off-peak,Energy cost peak by TOU tariff,Energy cost off-peak by TOU tariff,Energy cost peak by GC tariff,Energy cost off-peak by GC tariff,Energy cost by infra and system tariffs peak,Energy cost by infra and system tariffs off-peak,Previous availability,Current availability,Guaranteed availability,Power factor fine,Various charges,Various credits,Total cost VAT,Total cost,Document number,Total discount (ILS),Total discount peak (ILS),Total discount off-peak (ILS),Total cost without discount,Invoice level
Spring/Fall,01/04/2024,30/04/2024,Sorek,'50221070718,עיריית ראשון לציון - Lv - אדר 5,עיריית ראשון לציון,,Residential,4.558,1.56,0.0,0.0,5,'341910794,LOW_VOLTAGE,17.32,0.0,16.041,317.126,52.52,52.52,21.76,18.21,0.0,0.0,51.5283,52.2359,5.082,10.082,12.079,16.041,317.126,0.0,0.0,0.0,0.0,0.0,0.0,8.266,165.654,0.0,0.0,0.0,0.0,0.0,0.0,8.425,166.555,3.491,57.749,4.934,108.806,100.0,100.0,100.0,0.0,0.0,0.0,0.0,201.162,1000057830,1.06,0.159,0.901,202.222,
Spring/Fall,01/04/2024,30/04/2024,Sorek,'50221070717,עיריית ראשון לציון - Lv - אדר 7,עיריית ראשון לציון,,Residential,4.558,1.56,0.0,0.0,5,'341875555,LOW_VOLTAGE,55.43,0.0,35.577,239.401,52.52,52.52,21.76,18.21,0.0,0.0,51.5283,52.2359,16.266,10.082,12.079,35.577,239.401,0.0,0.0,0.0,0.0,0.0,0.0,18.332,125.053,0.0,0.0,0.0,0.0,0.0,0.0,18.685,125.733,7.742,43.595,10.943,82.138,100.0,100.0,100.0,0.0,0.0,0.0,0.0,181.812,1000057829,1.033,0.353,0.68,182.845,
Spring/Fall,01/04/2024,30/04/2024,Sorek,'50221027753,"עיריית ראשון לציון - Lv - אח""י להב 1",עיריית ראשון לציון,,Residential,4.558,1.56,0.0,0.0,5,'341777017,LOW_VOLTAGE,55.43,0.0,21.74,524.532,52.52,52.52,21.76,18.21,0.0,0.0,51.5283,52.2359,16.266,10.082,12.079,21.74,524.532,0.0,0.0,0.0,0.0,0.0,0.0,11.202,273.994,0.0,0.0,0.0,0.0,0.0,0.0,11.418,275.484,4.731,95.517,6.687,179.967,100.0,100.0,100.0,0.0,0.0,0.0,0.0,323.622,1000057808,1.706,0.216,1.49,325.328,
Spring/Fall,01/04/2024,30/04/2024,Sorek,'50221029529,"עיריית ראשון לציון - Lv - אח""י משגב ע""י 92 פינת מבצע נועה 16",עיריית ראשון לציון,,Residential,4.558,1.56,0.0,0.0,5,'341840965,LOW_VOLTAGE,27.71,0.0,93.994,1142.515,52.52,52.52,21.76,18.21,0.0,0.0,51.5283,52.2359,8.131,10.082,12.079,93.994,1142.515,0.0,0.0,0.0,0.0,0.0,0.0,48.433,596.803,0.0,0.0,0.0,0.0,0.0,0.0,49.366,600.049,20.453,208.052,28.913,391.997,100.0,100.0,100.0,0.0,0.0,0.0,0.0,675.528,1000057812,4.178,0.932,3.246,679.706,
Spring/Fall,01/04/2024,30/04/2024,Sorek,'50323129246,עיריית ראשון לציון - Lv - ארנון משה 7,עיריית ראשון לציון,,Residential,4.558,1.56,0.0,0.0,5,'342104285,LOW_VOLTAGE,43.65,0.0,79.556,534.732,52.52,52.52,21.76,18.21,0.0,0.0,51.5283,52.2359,12.809,10.082,12.079,79.556,534.732,0.0,0.0,0.0,0.0,0.0,0.0,40.994,279.322,0.0,0.0,0.0,0.0,0.0,0.0,41.783,280.841,17.311,97.375,24.471,183.467,100.0,100.0,100.0,0.0,0.0,0.0,0.0,355.285,1000057890,2.308,0.789,1.519,357.593,
Spring/Fall,01/04/2024,30/04/2024,Sorek,'50221068480,עיריית ראשון לציון - Lv - בית הלוי 3,עיריית ראשון לציון,,Residential,4.558,1.56,0.0,0.0,5,'342072724,LOW_VOLTAGE,43.65,0.0,25.299,461.777,52.52,52.52,21.76,18.21,0.0,0.0,51.5283,52.2359,12.809,10.082,12.079,25.299,461.777,0.0,0.0,0.0,0.0,0.0,0.0,13.036,241.213,0.0,0.0,0.0,0.0,0.0,0.0,13.287,242.525,5.505,84.09,7.782,158.436,100.0,100.0,100.0,0.0,0.0,0.0,0.0,289.219,1000057827,1.563,0.251,1.312,290.782,
Spring/Fall,01/04/2024,30/04/2024,Sorek,'50221068482,עיריית ראשון לציון - Lv - בית הלוי 4,עיריית ראשון לציון,,Residential,4.558,1.56,0.0,0.0,5,'342340399,LOW_VOLTAGE,43.65,0.0,39.62,621.358,52.52,52.52,21.76,18.21,0.0,0.0,51.5283,52.2359,12.809,10.082,12.079,39.62,621.358,0.0,0.0,0.0,0.0,0.0,0.0,20.416,324.572,0.0,0.0,0.0,0.0,0.0,0.0,20.808,326.337,8.621,113.149,12.187,213.188,100.0,100.0,100.0,0.0,0.0,0.0,0.0,379.957,1000057828,2.158,0.393,1.765,382.115,
Spring/Fall,01/04/2024,30/04/2024,Sorek,'50221032818,עיריית ראשון לציון - Lv - בית הערבה גן ציבורי,עיריית ראשון לציון,,Streetlight,4.679,1.602,0.0,0.0,5,'345647257,LOW_VOLTAGE,55.43,0.0,0.0,0.005,51.16,51.16,21.76,18.21,0.0,0.0,50.1419,50.8683,16.266,10.082,12.079,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.001,0.0,0.002,100.0,100.0,100.0,0.0,0.0,0.0,0.0,38.429,1000057815,0.0,0.0,0.0,38.429,
Spring/Fall,01/04/2024,30/04/2024,Sorek,'50323164865,עיריית ראשון לציון - Lv - בן צבי יצחק 31 מועדון,עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'342797631,LOW_VOLTAGE,55.43,0.0,361.082,1605.296,39.61,35.26,21.76,18.21,0.0,0.0,37.2164,34.4406,16.266,28.013,12.059,361.082,1605.296,0.0,0.0,0.0,0.0,0.0,0.0,134.382,552.873,0.0,0.0,0.0,0.0,0.0,0.0,143.025,566.027,78.571,292.324,64.453,273.703,100.0,100.0,100.0,0.0,0.0,0.0,0.0,743.592,1000057901,21.797,8.643,13.155,765.39,
Spring/Fall,01/04/2024,30/04/2024,Sorek,'50323164862,עיריית ראשון לציון - Lv - בן צבי יצחק מול 35,עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'342466160,LOW_VOLTAGE,55.43,0.0,225.508,1114.903,39.61,35.26,21.76,18.21,0.0,0.0,37.2164,34.4406,16.266,28.013,12.059,225.508,1114.903,0.0,0.0,0.0,0.0,0.0,0.0,83.926,383.979,0.0,0.0,0.0,0.0,0.0,0.0,89.324,393.115,49.071,203.024,40.253,190.091,100.0,100.0,100.0,0.0,0.0,0.0,0.0,524.242,1000057899,14.534,5.398,9.136,538.776,
Spring/Fall,01/04/2024,30/04/2024,Sorek,'50221059042,עיריית ראשון לציון - Lv - בר אברהם 5,עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'342026605,LOW_VOLTAGE,43.65,0.0,89.826,622.333,39.61,35.26,21.76,18.21,0.0,0.0,37.2164,34.4406,12.809,28.013,12.059,89.826,622.333,0.0,0.0,0.0,0.0,0.0,0.0,33.43,214.335,0.0,0.0,0.0,0.0,0.0,0.0,35.58,219.435,19.546,113.327,16.034,106.108,100.0,100.0,100.0,0.0,0.0,0.0,0.0,300.646,1000057819,7.25,2.15,5.1,307.896,
Spring/Fall,01/04/2024,30/04/2024,Sorek,'50221065107,עיריית ראשון לציון - Lv - ברית יוסף X20 מאור,עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'342480216,LOW_VOLTAGE,55.43,0.0,1164.222,5791.988,39.61,35.26,21.76,18.21,0.0,0.0,37.2164,34.4406,16.266,28.013,12.059,1164.222,5791.988,0.0,0.0,0.0,0.0,0.0,0.0,433.282,1994.793,0.0,0.0,0.0,0.0,0.0,0.0,461.148,2042.255,253.335,1054.721,207.814,987.534,100.0,100.0,100.0,0.0,0.0,0.0,0.0,2484.412,1000057825,75.329,27.867,47.462,2559.741,
Spring/Fall,01/04/2024,30/04/2024,Sorek,'50322056351,עיריית ראשון לציון - Lv - גדולי ישראל 17,עיריית ראשון לציון,,Residential,4.558,1.56,0.0,0.0,5,'345463969,LOW_VOLTAGE,55.43,0.0,208.557,834.938,52.52,52.52,21.76,18.21,0.0,0.0,51.5283,52.2359,16.266,10.082,12.079,208.557,834.938,0.0,0.0,0.0,0.0,0.0,0.0,107.466,436.137,0.0,0.0,0.0,0.0,0.0,0.0,109.534,438.509,45.382,152.042,64.152,286.467,100.0,100.0,100.0,0.0,0.0,0.0,0.0,582.029,1000057854,4.441,2.068,2.372,586.47,
Spring/Fall,01/04/2024,30/04/2024,Sorek,'50322015326,עיריית ראשון לציון - Lv - גולדה מאיר 11,עיריית ראשון לציון,,Residential,4.558,1.56,0.0,0.0,5,'341912553,LOW_VOLTAGE,55.43,0.0,86.248,787.732,52.52,52.52,21.76,18.21,0.0,0.0,51.5283,52.2359,16.266,10.082,12.079,86.248,787.732,0.0,0.0,0.0,0.0,0.0,0.0,44.442,411.479,0.0,0.0,0.0,0.0,0.0,0.0,45.297,413.717,18.768,143.446,26.53,270.271,100.0,100.0,100.0,0.0,0.0,0.0,0.0,494.347,1000057836,3.094,0.855,2.238,497.44,
Spring/Fall,01/04/2024,30/04/2024,Sorek,'50323118932,עיריית ראשון לציון - Lv - גולדה מאיר 17א,עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'342019889,LOW_VOLTAGE,55.43,0.0,346.818,2095.144,39.61,35.26,21.76,18.21,0.0,0.0,37.2164,34.4406,16.266,28.013,12.059,346.818,2095.144,0.0,0.0,0.0,0.0,0.0,0.0,129.073,721.579,0.0,0.0,0.0,0.0,0.0,0.0,137.375,738.748,75.468,381.526,61.907,357.222,100.0,100.0,100.0,0.0,0.0,0.0,0.0,906.99,1000057873,25.47,8.301,17.169,932.46,
