Season,From,To,Business entity,Meter IEC long number,Site name,Customer name,Site ID,Tariff ID,Discount from GC peak,Discount from GC off-peak,Discount from full tariff peak,Discount from full tariff off-peak,Priority,Contract number,Meter connection,KVA,Transformer unit,Peak consumption,Off-peak consumption,TOU tariff peak,TOU tariff off-peak,GC tariff peak,GC tariff off-peak,Minimum tariff peak,Minimum tariff off-peak,Tariff with discount peak,Tariff with discount off-peak,KVA cost,Distribution,Supply,Consumption with discount peak,Consumption with discount off-peak,Consumption without discount peak,Consumption without discount off-peak,Consumption without discount max consumption peak,Consumption without discount max consumption off-peak,Consumption without discount power plant constraint peak,Consumption without discount power plant constraint off-peak,Cost with discount peak,Cost with discount off-peak,Cost without discount peak,Cost without discount off-peak,Cost without discount max consumption peak,Cost without discount max consumption off-peak,Cost without discount power plant constraint peak,Cost without discount power plant constraints off-peak,Energy cost peak by TOU tariff,Energy cost off-peak by TOU tariff,Energy cost peak by GC tariff,Energy cost off-peak by GC tariff,Energy cost by infra and system tariffs peak,Energy cost by infra and system tariffs off-peak,Previous availability,Current availability,Guaranteed availability,Power factor fine,Various charges,Various credits,Total cost VAT,Total cost,Document number,Total discount (ILS),Total discount peak (ILS),Total discount off-peak (ILS),Total cost without discount,Invoice level
Spring/Fall,01/05/2024,31/05/2024,Sorek,'50221070718,עיריית ראשון לציון - Lv - אדר 5,עיריית ראשון לציון,,Residential,4.558,1.56,0.0,0.0,5,'341910794,LOW_VOLTAGE,17.32,0.0,177.228,1043.168,52.52,52.52,21.76,18.21,0.0,0.0,51.5283,52.2359,5.252,10.418,12.481,177.228,1038.786,0.0,4.382,0.0,0.0,0.0,4.382,91.323,542.619,0.0,2.301,0.0,0.0,0.0,2.301,93.08,547.872,38.565,189.961,54.515,357.911,100.0,99.977,0.0,0.0,0.0,0.0,0.0,664.394,1000058123,4.709,1.758,2.952,669.103,
Spring/Fall,01/05/2024,31/05/2024,Sorek,'50221070717,עיריית ראשון לציון - Lv - אדר 7,עיריית ראשון לציון,,Residential,4.558,1.56,0.0,0.0,5,'341875555,LOW_VOLTAGE,55.43,0.0,8.477,55.314,52.52,52.52,21.76,18.21,0.0,0.0,51.5283,52.2359,16.808,10.418,12.481,8.477,55.211,0.0,0.103,0.0,0.0,0.0,0.103,4.368,28.84,0.0,0.054,0.0,0.0,0.0,0.054,4.452,29.051,1.845,10.073,2.608,18.978,100.0,99.977,0.0,0.0,0.0,0.0,0.0,72.969,1000058122,0.241,0.084,0.157,73.21,
Spring/Fall,01/05/2024,31/05/2024,Sorek,'50221027753,"עיריית ראשון לציון - Lv - אח""י להב 1",עיריית ראשון לציון,,Residential,4.558,1.56,0.0,0.0,5,'341777017,LOW_VOLTAGE,55.43,0.0,25.11,1088.124,52.52,52.52,21.76,18.21,0.0,0.0,51.5283,52.2359,16.808,10.418,12.481,25.11,1082.462,0.0,5.662,0.0,0.0,0.0,5.662,12.939,565.433,0.0,2.974,0.0,0.0,0.0,2.974,13.188,571.483,5.464,198.147,7.724,373.335,100.0,99.977,0.0,0.0,0.0,0.0,0.0,621.053,1000058101,3.325,0.249,3.076,624.378,
Spring/Fall,01/05/2024,31/05/2024,Sorek,'50221029529,"עיריית ראשון לציון - Lv - אח""י משגב ע""י 92 פינת מבצע נועה 16",עיריית ראשון לציון,,Residential,4.558,1.56,0.0,0.0,5,'341840965,LOW_VOLTAGE,27.71,0.0,143.82,2122.556,52.52,52.52,21.76,18.21,0.0,0.0,51.5283,52.2359,8.402,10.418,12.481,143.82,2109.255,0.0,13.301,0.0,0.0,0.0,13.301,74.108,1101.788,0.0,6.986,0.0,0.0,0.0,6.986,75.534,1114.766,31.295,386.517,44.239,728.249,100.0,99.977,0.0,0.0,0.0,0.0,0.0,1214.183,1000058105,7.419,1.426,5.993,1221.602,
Spring/Fall,01/05/2024,31/05/2024,Sorek,'50323129246,עיריית ראשון לציון - Lv - ארנון משה 7,עיריית ראשון לציון,,Residential,4.558,1.56,0.0,0.0,5,'342104285,LOW_VOLTAGE,43.65,0.0,88.841,1257.167,52.52,52.52,21.76,18.21,0.0,0.0,51.5283,52.2359,13.236,10.418,12.481,88.841,1250.735,0.0,6.432,0.0,0.0,0.0,6.432,45.778,653.332,0.0,3.378,0.0,0.0,0.0,3.378,46.659,660.264,19.332,228.93,27.327,431.334,100.0,99.977,0.0,0.0,0.0,0.0,0.0,738.624,1000058187,4.435,0.881,3.554,743.058,
Spring/Fall,01/05/2024,31/05/2024,Sorek,'50221068480,עיריית ראשון לציון - Lv - בית הלוי 3,עיריית ראשון לציון,,Residential,4.558,1.56,0.0,0.0,5,'342072724,LOW_VOLTAGE,43.65,0.0,37.329,951.91,52.52,52.52,21.76,18.21,0.0,0.0,51.5283,52.2359,13.236,10.418,12.481,37.329,945.399,0.0,6.511,0.0,0.0,0.0,6.511,19.235,493.838,0.0,3.419,0.0,0.0,0.0,3.419,19.605,499.943,8.123,173.343,11.482,326.6,100.0,99.977,0.0,0.0,0.0,0.0,0.0,552.627,1000058120,3.056,0.37,2.686,555.683,
Spring/Fall,01/05/2024,31/05/2024,Sorek,'50221068482,עיריית ראשון לציון - Lv - בית הלוי 4,עיריית ראשון לציון,,Residential,4.558,1.56,0.0,0.0,5,'342340399,LOW_VOLTAGE,43.65,0.0,74.032,1424.231,52.52,52.52,21.76,18.21,0.0,0.0,51.5283,52.2359,13.236,10.418,12.481,74.032,1414.74,0.0,9.491,0.0,0.0,0.0,9.491,38.147,739.002,0.0,4.985,0.0,0.0,0.0,4.985,38.882,748.006,16.109,259.352,22.772,488.654,100.0,99.977,0.0,0.0,0.0,0.0,0.0,818.269,1000058121,4.754,0.734,4.02,823.023,
Spring/Fall,01/05/2024,31/05/2024,Sorek,'50221032818,עיריית ראשון לציון - Lv - בית הערבה גן ציבורי,עיריית ראשון לציון,,Streetlight,4.679,1.602,0.0,0.0,5,'345647257,LOW_VOLTAGE,55.43,0.0,0.027,0.01,51.16,51.16,21.76,18.21,0.0,0.0,50.1419,50.8683,16.808,10.418,12.481,0.027,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.005,0.006,0.002,0.008,0.003,100.0,99.977,0.0,0.0,0.0,0.0,0.0,39.726,1000058108,0.0,0.0,0.0,39.726,
Spring/Fall,01/05/2024,31/05/2024,Sorek,'50323164865,עיריית ראשון לציון - Lv - בן צבי יצחק 31 מועדון,עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'342797631,LOW_VOLTAGE,55.43,0.0,939.551,3275.638,39.61,35.26,21.76,18.21,0.0,0.0,37.2164,34.4406,16.808,28.947,12.461,939.551,3268.351,0.0,7.287,0.0,0.0,0.0,7.287,349.667,1125.638,0.0,2.569,0.0,0.0,0.0,2.569,372.156,1154.99,204.446,596.494,167.71,558.496,100.0,99.977,0.0,0.0,0.0,0.0,0.0,1536.09,1000058198,49.272,22.489,26.783,1585.362,
Spring/Fall,01/05/2024,31/05/2024,Sorek,'50323164862,עיריית ראשון לציון - Lv - בן צבי יצחק מול 35,עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'342466160,LOW_VOLTAGE,55.43,0.0,268.322,1342.362,39.61,35.26,21.76,18.21,0.0,0.0,37.2164,34.4406,16.808,28.947,12.461,268.322,1342.355,0.0,0.007,0.0,0.0,0.0,0.007,99.86,462.314,0.0,0.002,0.0,0.0,0.0,0.002,106.282,473.317,58.387,244.444,47.895,228.873,100.0,99.977,0.0,0.0,0.0,0.0,0.0,620.392,1000058196,17.423,6.423,11.0,637.815,
