Season,From,To,Business entity,Meter IEC long number,Site name,Customer name,Site ID,Tariff ID,Discount from GC peak,Discount from GC off-peak,Discount from full tariff peak,Discount from full tariff off-peak,Priority,Contract number,Meter connection,KVA,Transformer unit,Peak consumption,Off-peak consumption,TOU tariff peak,TOU tariff off-peak,GC tariff peak,GC tariff off-peak,Minimum tariff peak,Minimum tariff off-peak,Tariff with discount peak,Tariff with discount off-peak,KVA cost,Distribution,Supply,Consumption with discount peak,Consumption with discount off-peak,Consumption without discount peak,Consumption without discount off-peak,Consumption without discount max consumption peak,Consumption without discount max consumption off-peak,Consumption without discount power plant constraint peak,Consumption without discount power plant constraint off-peak,Cost with discount peak,Cost with discount off-peak,Cost without discount peak,Cost without discount off-peak,Cost without discount max consumption peak,Cost without discount max consumption off-peak,Cost without discount power plant constraint peak,Cost without discount power plant constraints off-peak,Energy cost peak by TOU tariff,Energy cost off-peak by TOU tariff,Energy cost peak by GC tariff,Energy cost off-peak by GC tariff,Energy cost by infra and system tariffs peak,Energy cost by infra and system tariffs off-peak,Previous availability,Current availability,Guaranteed availability,Power factor fine,Various charges,Various credits,Total cost VAT,Total cost,Document number,Total discount (ILS),Total discount peak (ILS),Total discount off-peak (ILS),Total cost without discount,Invoice level
Summer,01/06/2024,30/06/2024,Virtual,'50323198315,עיריית ראשון לציון - Lv - אברבנאל 35 8315,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'341871353,LOW_VOLTAGE,17.32,0.0,16.377,885.369,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,5.082,10.082,0.0,16.377,885.369,0.0,0.0,0.0,0.0,0.0,0.0,6.541,456.123,0.0,0.0,0.0,0.0,0.0,0.0,8.601,464.996,18.727,197.172,-10.126,267.824,99.977,99.977,0.0,0.0,0.0,0.0,0.0,477.829,1000058540,10.933,2.06,8.873,488.761,
Summer,01/06/2024,30/06/2024,Virtual,'50323198316,עיריית ראשון לציון - Lv - אברבנאל 35 8316,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'341871353,LOW_VOLTAGE,17.32,0.0,20.096,1068.14,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,5.082,10.082,12.079,20.096,1068.14,0.0,0.0,0.0,0.0,0.0,0.0,8.027,550.283,0.0,0.0,0.0,0.0,0.0,0.0,10.554,560.987,22.98,237.875,-12.425,323.112,99.977,99.977,0.0,0.0,0.0,0.0,0.0,585.552,1000058541,13.232,2.528,10.704,598.785,
Summer,01/06/2024,30/06/2024,Virtual,'50323549980,עיריית ראשון לציון - Lv - אברבנאל 41,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'341817394,LOW_VOLTAGE,43.65,0.0,47.165,2210.582,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,12.809,10.082,12.079,47.165,2210.582,0.0,0.0,0.0,0.0,0.0,0.0,18.838,1138.844,0.0,0.0,0.0,0.0,0.0,0.0,24.771,1160.998,53.933,492.297,-29.162,668.701,99.977,99.977,0.0,0.0,0.0,0.0,0.0,1192.652,1000058607,28.086,5.933,22.153,1220.738,
Summer,01/06/2024,30/06/2024,Virtual,'50323176834,עיריית ראשון לציון - Lv - אייזנבנד 8,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'341674283,LOW_VOLTAGE,24.25,0.0,117.141,2212.856,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,7.116,10.082,12.079,117.141,2212.856,0.0,0.0,0.0,0.0,0.0,0.0,46.788,1140.016,0.0,0.0,0.0,0.0,0.0,0.0,61.522,1162.192,133.951,492.803,-72.428,669.389,99.977,99.977,0.0,0.0,0.0,0.0,0.0,1216.08,1000058519,36.911,14.735,22.176,1252.991,
Summer,01/06/2024,30/06/2024,Virtual,'51220121470,עיריית ראשון לציון - Lv - אלחריזי 1א,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'342268841,LOW_VOLTAGE,55.43,0.0,73.262,2927.987,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,16.266,10.082,12.079,73.262,2927.987,0.0,0.0,0.0,0.0,0.0,0.0,29.262,1508.436,0.0,0.0,0.0,0.0,0.0,0.0,38.477,1537.779,83.775,652.063,-45.298,885.716,99.977,99.977,0.0,0.0,0.0,0.0,0.0,1576.124,1000058616,38.558,9.215,29.343,1614.682,
Summer,01/06/2024,30/06/2024,Virtual,'50323211559,עיריית ראשון לציון - Lv - אלקלעי X30 מקלט,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'341891241,LOW_VOLTAGE,17.32,0.0,251.142,319.946,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,5.082,10.082,12.079,251.142,319.946,0.0,0.0,0.0,0.0,0.0,0.0,100.31,164.829,0.0,0.0,0.0,0.0,0.0,0.0,131.9,168.036,287.181,71.252,-155.281,96.784,99.977,99.977,0.0,0.0,0.0,0.0,0.0,292.382,1000058576,34.796,31.59,3.206,327.178,
Summer,01/06/2024,30/06/2024,Virtual,'50323538187,"עיריית ראשון לציון - Lv - אלקלעי ע""י 10 פינת מולכו",עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'341788497,LOW_VOLTAGE,55.43,0.0,755.479,2806.279,142.11,41.88,114.35,22.27,0.0,0.0,129.5315,40.8779,16.266,28.013,12.059,755.479,2806.279,0.0,0.0,0.0,0.0,0.0,0.0,978.583,1147.147,0.0,0.0,0.0,0.0,0.0,0.0,1073.611,1175.27,863.89,624.958,209.721,550.311,99.977,99.977,0.0,0.0,0.0,0.0,0.0,2182.067,1000058603,123.151,95.028,28.123,2305.219,
Summer,01/06/2024,30/06/2024,Virtual,'50323203147,עיריית ראשון לציון - Lv - אסירי ציון מקלט ציבורי,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'341820299,LOW_VOLTAGE,17.32,0.0,54.964,278.106,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,5.082,10.082,12.079,54.964,278.106,0.0,0.0,0.0,0.0,0.0,0.0,21.953,143.274,0.0,0.0,0.0,0.0,0.0,0.0,28.867,146.061,62.851,61.934,-33.984,84.127,99.977,99.977,0.0,0.0,0.0,0.0,0.0,192.471,1000058557,9.701,6.914,2.787,202.171,
Summer,01/06/2024,30/06/2024,Virtual,'50323200175,"עיריית ראשון לציון - Lv - ביל""ו X56",עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'341684115,LOW_VOLTAGE,43.65,0.0,343.159,1294.212,142.11,41.88,114.35,22.27,0.0,0.0,129.5315,40.8779,12.809,28.013,12.059,343.159,1294.212,0.0,0.0,0.0,0.0,0.0,0.0,444.499,529.046,0.0,0.0,0.0,0.0,0.0,0.0,487.663,542.016,392.402,288.221,95.261,253.795,99.977,99.977,0.0,0.0,0.0,0.0,0.0,1026.426,1000058551,56.134,43.164,12.97,1082.56,
Summer,01/06/2024,30/06/2024,Virtual,'50323211512,"עיריית ראשון לציון - Lv - ביל""ו ע""י 2 סמ' בנימין",עיריית ראשון לציון,,Streetlight,11.0,4.5,0.0,0.0,5,'342750229,LOW_VOLTAGE,55.43,0.0,247.049,814.577,51.16,51.16,114.35,22.27,0.0,0.0,38.5815,50.1579,16.266,10.082,12.079,247.049,814.577,0.0,0.0,0.0,0.0,0.0,0.0,95.315,408.574,0.0,0.0,0.0,0.0,0.0,0.0,126.39,416.738,282.501,181.406,-156.11,235.331,99.977,99.977,0.0,0.0,0.0,0.0,0.0,542.316,1000058575,39.238,31.075,8.163,581.554,
Summer,01/06/2024,30/06/2024,Virtual,'50323195602,עיריית ראשון לציון - Lv - בית יוסף 12,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'341906117,LOW_VOLTAGE,55.43,0.0,235.901,2421.939,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,16.266,10.082,12.079,235.901,2421.939,0.0,0.0,0.0,0.0,0.0,0.0,94.222,1247.731,0.0,0.0,0.0,0.0,0.0,0.0,123.895,1272.002,269.753,539.366,-145.858,732.637,99.977,99.977,0.0,0.0,0.0,0.0,0.0,1380.379,1000058538,53.944,29.673,24.271,1434.324,
Summer,01/06/2024,30/06/2024,Virtual,'50323204650,עיריית ראשון לציון - Lv - בית לחם 13 4650,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'341826083,LOW_VOLTAGE,17.32,0.0,15.574,661.083,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,5.082,10.082,0.0,15.574,661.083,0.0,0.0,0.0,0.0,0.0,0.0,6.22,340.576,0.0,0.0,0.0,0.0,0.0,0.0,8.179,347.201,17.809,147.223,-9.629,199.978,99.977,99.977,0.0,0.0,0.0,0.0,0.0,361.961,1000058561,8.584,1.959,6.625,370.545,
Summer,01/06/2024,30/06/2024,Virtual,'50323207959,עיריית ראשון לציון - Lv - בית לחם 13 7959,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'341826083,LOW_VOLTAGE,17.32,0.0,39.971,1018.16,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,5.082,10.082,12.079,39.971,1018.16,0.0,0.0,0.0,0.0,0.0,0.0,15.965,524.534,0.0,0.0,0.0,0.0,0.0,0.0,20.993,534.738,45.707,226.744,-24.714,307.993,99.977,99.977,0.0,0.0,0.0,0.0,0.0,567.742,1000058565,15.231,5.028,10.203,582.973,
Summer,01/06/2024,30/06/2024,Virtual,'50922021065,עיריית ראשון לציון - Lv - בן סרוק 3,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'342441761,LOW_VOLTAGE,43.65,0.0,166.912,1773.321,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,12.809,10.082,12.079,166.912,1773.321,0.0,0.0,0.0,0.0,0.0,0.0,66.667,913.577,0.0,0.0,0.0,0.0,0.0,0.0,87.662,931.348,190.864,394.919,-103.202,536.43,99.977,99.977,0.0,0.0,0.0,0.0,0.0,1015.213,1000058614,38.766,20.995,17.771,1053.98,
