Season,From,To,Business entity,Meter IEC long number,Site name,Customer name,Site ID,Tariff ID,Discount from GC peak,Discount from GC off-peak,Discount from full tariff peak,Discount from full tariff off-peak,Priority,Contract number,Meter connection,KVA,Transformer unit,Peak consumption,Off-peak consumption,TOU tariff peak,TOU tariff off-peak,GC tariff peak,GC tariff off-peak,Minimum tariff peak,Minimum tariff off-peak,Tariff with discount peak,Tariff with discount off-peak,KVA cost,Distribution,Supply,Consumption with discount peak,Consumption with discount off-peak,Consumption without discount peak,Consumption without discount off-peak,Consumption without discount max consumption peak,Consumption without discount max consumption off-peak,Consumption without discount power plant constraint peak,Consumption without discount power plant constraint off-peak,Cost with discount peak,Cost with discount off-peak,Cost without discount peak,Cost without discount off-peak,Cost without discount max consumption peak,Cost without discount max consumption off-peak,Cost without discount power plant constraint peak,Cost without discount power plant constraints off-peak,Energy cost peak by TOU tariff,Energy cost off-peak by TOU tariff,Energy cost peak by GC tariff,Energy cost off-peak by GC tariff,Energy cost by infra and system tariffs peak,Energy cost by infra and system tariffs off-peak,Previous availability,Current availability,Guaranteed availability,Power factor fine,Various charges,Various credits,Total cost VAT,Total cost,Document number,Total discount (ILS),Total discount peak (ILS),Total discount off-peak (ILS),Total cost without discount,Invoice level
Summer,01/07/2024,31/07/2024,Virtual,'50221070718,עיריית ראשון לציון - Lv - אדר 5,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'341910794,LOW_VOLTAGE,17.32,0.0,839.113,3269.207,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,5.252,10.418,12.481,839.113,3269.207,0.0,0.0,0.0,0.0,0.0,0.0,335.154,1684.225,0.0,0.0,0.0,0.0,0.0,0.0,440.702,1716.988,959.526,728.052,-518.824,988.935,99.829,99.829,0.0,0.0,0.0,0.0,0.0,2047.531,1000059244,138.31,105.548,32.762,2185.841,
Summer,01/07/2024,31/07/2024,Virtual,'50221070717,עיריית ראשון לציון - Lv - אדר 7,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'341875555,LOW_VOLTAGE,55.43,0.0,96.086,454.229,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,16.808,10.418,12.481,96.086,454.229,0.0,0.0,0.0,0.0,0.0,0.0,38.378,234.009,0.0,0.0,0.0,0.0,0.0,0.0,50.464,238.561,109.874,101.157,-59.41,137.404,99.829,99.829,0.0,0.0,0.0,0.0,0.0,312.094,1000059243,16.638,12.086,4.552,328.732,
Summer,01/07/2024,31/07/2024,Virtual,'50221027753,"עיריית ראשון לציון - Lv - אח""י להב 1",עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'341777017,LOW_VOLTAGE,55.43,0.0,72.304,2320.965,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,16.808,10.418,12.481,72.304,2320.965,0.0,0.0,0.0,0.0,0.0,0.0,28.879,1195.711,0.0,0.0,0.0,0.0,0.0,0.0,37.974,1218.971,82.68,516.879,-44.706,702.092,99.829,99.829,0.0,0.0,0.0,0.0,0.0,1264.298,1000059222,32.354,9.095,23.26,1296.652,
Summer,01/07/2024,31/07/2024,Virtual,'50221029529,"עיריית ראשון לציון - Lv - אח""י משגב ע""י 92 פינת מבצע נועה 16",עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'341840965,LOW_VOLTAGE,27.71,0.0,259.139,1856.968,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,8.402,10.418,12.481,259.139,1856.968,0.0,0.0,0.0,0.0,0.0,0.0,103.504,956.67,0.0,0.0,0.0,0.0,0.0,0.0,136.1,975.28,296.325,413.547,-160.226,561.733,99.829,99.829,0.0,0.0,0.0,0.0,0.0,1091.476,1000059226,51.205,32.596,18.61,1142.681,
Summer,01/07/2024,31/07/2024,Virtual,'50323129246,עיריית ראשון לציון - Lv - ארנון משה 7,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'342104285,LOW_VOLTAGE,43.65,0.0,253.907,2554.403,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,13.236,10.418,12.481,253.907,2554.403,0.0,0.0,0.0,0.0,0.0,0.0,101.414,1315.974,0.0,0.0,0.0,0.0,0.0,0.0,133.352,1341.572,290.343,568.866,-156.991,772.707,99.829,99.829,0.0,0.0,0.0,0.0,0.0,1453.523,1000059309,57.537,31.938,25.599,1511.059,
Summer,01/07/2024,31/07/2024,Virtual,'50221068480,עיריית ראשון לציון - Lv - בית הלוי 3,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'342072724,LOW_VOLTAGE,43.65,0.0,53.028,1401.721,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,13.236,10.418,12.481,53.028,1401.721,0.0,0.0,0.0,0.0,0.0,0.0,21.18,722.137,0.0,0.0,0.0,0.0,0.0,0.0,27.85,736.184,60.638,312.163,-32.787,424.021,99.829,99.829,0.0,0.0,0.0,0.0,0.0,779.452,1000059241,20.717,6.67,14.047,800.169,
Summer,01/07/2024,31/07/2024,Virtual,'50221068482,עיריית ראשון לציון - Lv - בית הלוי 4,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'342340399,LOW_VOLTAGE,43.65,0.0,95.047,1912.479,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,13.236,10.418,12.481,95.047,1912.479,0.0,0.0,0.0,0.0,0.0,0.0,37.963,985.268,0.0,0.0,0.0,0.0,0.0,0.0,49.919,1004.434,108.686,425.909,-58.768,578.525,99.829,99.829,0.0,0.0,0.0,0.0,0.0,1059.366,1000059242,31.121,11.955,19.166,1090.488,
Summer,01/07/2024,31/07/2024,Virtual,'50221032818,עיריית ראשון לציון - Lv - בית הערבה גן ציבורי,עיריית ראשון לציון,,Streetlight,11.0,4.5,0.0,0.0,5,'345647257,LOW_VOLTAGE,55.43,0.0,0.944,0.001,51.16,51.16,114.35,22.27,0.0,0.0,38.5815,50.1579,16.808,10.418,12.481,0.944,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.364,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.001,1.079,0.0,-0.597,0.0,99.829,99.829,0.0,0.0,0.0,0.0,0.0,40.072,1000059229,0.119,0.119,0.0,40.191,
Summer,01/07/2024,31/07/2024,Virtual,'50323164862,עיריית ראשון לציון - Lv - בן צבי יצחק מול 35,עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'342466160,LOW_VOLTAGE,55.43,0.0,431.963,1281.085,142.11,41.88,114.35,22.27,0.0,0.0,129.5315,40.8779,16.808,28.947,12.461,431.963,1281.085,0.0,0.0,0.0,0.0,0.0,0.0,559.528,523.68,0.0,0.0,0.0,0.0,0.0,0.0,613.863,536.518,493.95,285.298,119.913,251.221,99.829,99.829,0.0,0.0,0.0,0.0,0.0,1141.424,1000059319,67.173,54.334,12.838,1208.597,
Summer,01/07/2024,31/07/2024,Virtual,'50221059042,עיריית ראשון לציון - Lv - בר אברהם 5,עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'342026605,LOW_VOLTAGE,43.65,0.0,211.548,988.615,142.11,41.88,114.35,22.27,0.0,0.0,129.5315,40.8779,13.236,28.947,12.461,211.548,988.615,0.0,0.0,0.0,0.0,0.0,0.0,274.021,404.125,0.0,0.0,0.0,0.0,0.0,0.0,300.631,414.032,241.905,220.165,58.726,193.867,99.829,99.829,0.0,0.0,0.0,0.0,0.0,732.789,1000059233,36.517,26.61,9.907,769.306,
