Season,From,To,Business entity,Meter IEC long number,Site name,Customer name,Site ID,Tariff ID,Discount from GC peak,Discount from GC off-peak,Discount from full tariff peak,Discount from full tariff off-peak,Priority,Contract number,Meter connection,KVA,Transformer unit,Peak consumption,Off-peak consumption,TOU tariff peak,TOU tariff off-peak,GC tariff peak,GC tariff off-peak,Minimum tariff peak,Minimum tariff off-peak,Tariff with discount peak,Tariff with discount off-peak,KVA cost,Distribution,Supply,Consumption with discount peak,Consumption with discount off-peak,Consumption without discount peak,Consumption without discount off-peak,Consumption without discount max consumption peak,Consumption without discount max consumption off-peak,Consumption without discount power plant constraint peak,Consumption without discount power plant constraint off-peak,Cost with discount peak,Cost with discount off-peak,Cost without discount peak,Cost without discount off-peak,Cost without discount max consumption peak,Cost without discount max consumption off-peak,Cost without discount power plant constraint peak,Cost without discount power plant constraints off-peak,Energy cost peak by TOU tariff,Energy cost off-peak by TOU tariff,Energy cost peak by GC tariff,Energy cost off-peak by GC tariff,Energy cost by infra and system tariffs peak,Energy cost by infra and system tariffs off-peak,Previous availability,Current availability,Guaranteed availability,Power factor fine,Various charges,Various credits,Total cost VAT,Total cost,Document number,Total discount (ILS),Total discount peak (ILS),Total discount off-peak (ILS),Total cost without discount,Invoice level
Summer,01/09/2024,30/09/2024,Virtual,'50221070718,עיריית ראשון לציון - Lv - אדר 5,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'341910794,LOW_VOLTAGE,17.32,0.0,890.267,3060.039,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,5.082,10.082,12.079,890.267,3060.039,0.0,0.0,0.0,0.0,0.0,0.0,355.586,1576.466,0.0,0.0,0.0,0.0,0.0,0.0,467.568,1607.132,1018.02,681.471,-550.452,925.662,99.829,99.829,0.0,0.0,0.0,0.0,0.0,1959.295,1000060109,142.648,111.982,30.666,2101.944,
Summer,01/09/2024,30/09/2024,Virtual,'50221070717,עיריית ראשון לציון - Lv - אדר 7,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'341875555,LOW_VOLTAGE,55.43,0.0,63.339,1117.293,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,16.266,10.082,12.079,63.339,1117.293,0.0,0.0,0.0,0.0,0.0,0.0,25.299,575.605,0.0,0.0,0.0,0.0,0.0,0.0,33.266,586.802,72.428,248.821,-39.163,337.981,99.829,99.829,0.0,0.0,0.0,0.0,0.0,639.33,1000060108,19.164,7.967,11.197,658.494,
Summer,01/09/2024,30/09/2024,Virtual,'50221027753,"עיריית ראשון לציון - Lv - אח""י להב 1",עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'341777017,LOW_VOLTAGE,55.43,0.0,36.513,2091.241,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,16.266,10.082,12.079,36.513,2091.241,0.0,0.0,0.0,0.0,0.0,0.0,14.584,1077.362,0.0,0.0,0.0,0.0,0.0,0.0,19.177,1098.32,41.753,465.719,-22.576,632.6,99.829,99.829,0.0,0.0,0.0,0.0,0.0,1130.372,1000060087,25.55,4.593,20.957,1155.923,
Summer,01/09/2024,30/09/2024,Virtual,'50221029529,"עיריית ראשון לציון - Lv - אח""י משגב ע""י 92 פינת מבצע נועה 16",עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'341840965,LOW_VOLTAGE,27.71,0.0,194.982,1902.524,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,8.131,10.082,12.079,194.982,1902.524,0.0,0.0,0.0,0.0,0.0,0.0,77.879,980.139,0.0,0.0,0.0,0.0,0.0,0.0,102.405,999.206,222.962,423.692,-120.557,575.514,99.829,99.829,0.0,0.0,0.0,0.0,0.0,1088.31,1000060091,43.592,24.526,19.066,1131.902,
Summer,01/09/2024,30/09/2024,Virtual,'50323129246,עיריית ראשון לציון - Lv - ארנון משה 7,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'342104285,LOW_VOLTAGE,43.65,0.0,177.432,1886.074,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,12.809,10.082,12.079,177.432,1886.074,0.0,0.0,0.0,0.0,0.0,0.0,70.869,971.665,0.0,0.0,0.0,0.0,0.0,0.0,93.187,990.566,202.893,420.029,-109.706,570.537,99.829,99.829,0.0,0.0,0.0,0.0,0.0,1077.503,1000060174,41.22,22.318,18.901,1118.723,
Summer,01/09/2024,30/09/2024,Virtual,'50221068480,עיריית ראשון לציון - Lv - בית הלוי 3,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'342072724,LOW_VOLTAGE,43.65,0.0,63.338,1572.517,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,12.809,10.082,12.079,63.338,1572.517,0.0,0.0,0.0,0.0,0.0,0.0,25.298,810.127,0.0,0.0,0.0,0.0,0.0,0.0,33.265,825.886,72.427,350.2,-39.162,475.686,99.829,99.829,0.0,0.0,0.0,0.0,0.0,870.395,1000060106,23.726,7.967,15.759,894.12,
Summer,01/09/2024,30/09/2024,Virtual,'50221068482,עיריית ראשון לציון - Lv - בית הלוי 4,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'342340399,LOW_VOLTAGE,43.65,0.0,102.623,1894.504,52.52,52.52,114.35,22.27,0.0,0.0,39.9415,51.5179,12.809,10.082,12.079,102.623,1894.504,0.0,0.0,0.0,0.0,0.0,0.0,40.989,976.008,0.0,0.0,0.0,0.0,0.0,0.0,53.898,994.994,117.349,421.906,-63.452,573.087,99.829,99.829,0.0,0.0,0.0,0.0,0.0,1051.966,1000060107,31.894,12.908,18.986,1083.861,
Summer,01/09/2024,30/09/2024,Virtual,'50221032818,עיריית ראשון לציון - Lv - בית הערבה גן ציבורי,עיריית ראשון לציון,,Streetlight,11.0,4.5,0.0,0.0,5,'345647257,LOW_VOLTAGE,55.43,0.0,0.0,0.002,51.16,51.16,114.35,22.27,0.0,0.0,38.5815,50.1579,16.266,10.082,12.079,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,99.829,99.829,0.0,0.0,0.0,0.0,0.0,38.427,1000060094,0.0,0.0,0.0,38.427,
Summer,01/09/2024,30/09/2024,Virtual,'50323164862,עיריית ראשון לציון - Lv - בן צבי יצחק מול 35,עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'342466160,LOW_VOLTAGE,55.43,0.0,510.983,1341.152,142.11,41.88,114.35,22.27,0.0,0.0,129.5315,40.8779,16.266,28.013,12.059,510.983,1341.152,0.0,0.0,0.0,0.0,0.0,0.0,661.884,548.234,0.0,0.0,0.0,0.0,0.0,0.0,726.158,561.674,584.309,298.675,141.849,263.0,99.829,99.829,0.0,0.0,0.0,0.0,0.0,1266.456,1000060184,77.714,64.274,13.44,1344.17,
Summer,01/09/2024,30/09/2024,Virtual,'50221059042,עיריית ראשון לציון - Lv - בר אברהם 5,עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'342026605,LOW_VOLTAGE,43.65,0.0,406.542,1247.447,142.11,41.88,114.35,22.27,0.0,0.0,129.5315,40.8779,12.809,28.013,12.059,406.542,1247.447,0.0,0.0,0.0,0.0,0.0,0.0,526.6,509.93,0.0,0.0,0.0,0.0,0.0,0.0,577.737,522.431,464.881,277.806,112.856,244.624,99.829,99.829,0.0,0.0,0.0,0.0,0.0,1089.41,1000060098,63.638,51.137,12.501,1153.049,
