Season,From,To,Business entity,Meter IEC long number,Site name,Customer name,Site ID,Tariff ID,Discount from GC peak,Discount from GC off-peak,Discount from full tariff peak,Discount from full tariff off-peak,Priority,Contract number,Meter connection,KVA,Transformer unit,Peak consumption,Off-peak consumption,TOU tariff peak,TOU tariff off-peak,GC tariff peak,GC tariff off-peak,Minimum tariff peak,Minimum tariff off-peak,Tariff with discount peak,Tariff with discount off-peak,KVA cost,Distribution,Supply,Consumption with discount peak,Consumption with discount off-peak,Consumption without discount peak,Consumption without discount off-peak,Consumption without discount max consumption peak,Consumption without discount max consumption off-peak,Consumption without discount power plant constraint peak,Consumption without discount power plant constraint off-peak,Cost with discount peak,Cost with discount off-peak,Cost without discount peak,Cost without discount off-peak,Cost without discount max consumption peak,Cost without discount max consumption off-peak,Cost without discount power plant constraint peak,Cost without discount power plant constraints off-peak,Energy cost peak by TOU tariff,Energy cost off-peak by TOU tariff,Energy cost peak by GC tariff,Energy cost off-peak by GC tariff,Energy cost by infra and system tariffs peak,Energy cost by infra and system tariffs off-peak,Previous availability,Current availability,Guaranteed availability,Power factor fine,Various charges,Various credits,Total cost VAT,Total cost,Document number,Total discount (ILS),Total discount peak (ILS),Total discount off-peak (ILS),Total cost without discount,Invoice level
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50221070718,עיריית ראשון לציון - Lv - אדר 5,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'341910794,LOW_VOLTAGE,17.32,0.0,169.602,1419.743,52.52,52.52,21.76,18.21,0.0,0.0,50.1264,51.7005,5.082,10.082,12.079,169.602,1419.743,0.0,0.0,0.0,0.0,0.0,0.0,85.015,734.015,0.0,0.0,0.0,0.0,0.0,0.0,89.075,745.649,36.905,258.535,52.17,487.114,99.767,99.767,0.0,0.0,0.0,0.0,0.0,846.273,1000062803,15.694,4.06,11.634,861.967,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50221070717,עיריית ראשון לציון - Lv - אדר 7,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'341875555,LOW_VOLTAGE,55.43,0.0,42.776,517.542,52.52,52.52,21.76,18.21,0.0,0.0,50.1264,51.7005,16.266,10.082,12.079,42.776,517.542,0.0,0.0,0.0,0.0,0.0,0.0,21.442,267.572,0.0,0.0,0.0,0.0,0.0,0.0,22.466,271.813,9.308,94.244,13.158,177.569,99.767,99.767,0.0,0.0,0.0,0.0,0.0,327.44,1000062802,5.265,1.024,4.241,332.705,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50221027753,"עיריית ראשון לציון - Lv - אח""י להב 1",עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'341777017,LOW_VOLTAGE,55.43,0.0,28.166,684.129,52.52,52.52,21.76,18.21,0.0,0.0,50.1264,51.7005,16.266,10.082,12.079,28.166,684.129,0.0,0.0,0.0,0.0,0.0,0.0,14.119,353.698,0.0,0.0,0.0,0.0,0.0,0.0,14.793,359.305,6.129,124.58,8.664,234.725,99.767,99.767,0.0,0.0,0.0,0.0,0.0,406.243,1000062771,6.28,0.674,5.606,412.524,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50221029529,"עיריית ראשון לציון - Lv - אח""י משגב ע""י 92 פינת מבצע נועה 16",עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'341840965,LOW_VOLTAGE,27.71,0.0,70.563,1319.306,52.52,52.52,21.76,18.21,0.0,0.0,50.1264,51.7005,8.131,10.082,12.079,70.563,1319.306,0.0,0.0,0.0,0.0,0.0,0.0,35.371,682.088,0.0,0.0,0.0,0.0,0.0,0.0,37.06,692.9,15.355,240.246,21.705,452.654,99.767,99.767,0.0,0.0,0.0,0.0,0.0,747.751,1000062782,12.5,1.689,10.811,760.251,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50323129246,עיריית ראשון לציון - Lv - ארנון משה 7,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'342104285,LOW_VOLTAGE,43.65,0.0,86.446,958.875,52.52,52.52,21.76,18.21,0.0,0.0,50.1264,51.7005,12.809,10.082,12.079,86.446,958.875,0.0,0.0,0.0,0.0,0.0,0.0,43.332,495.744,0.0,0.0,0.0,0.0,0.0,0.0,45.401,503.601,18.811,174.611,26.591,328.99,99.767,99.767,0.0,0.0,0.0,0.0,0.0,574.045,1000062905,9.927,2.069,7.858,583.972,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50221068480,עיריית ראשון לציון - Lv - בית הלוי 3,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'342072724,LOW_VOLTAGE,43.65,0.0,29.385,636.401,52.52,52.52,21.76,18.21,0.0,0.0,50.1264,51.7005,12.809,10.082,12.079,29.385,636.401,0.0,0.0,0.0,0.0,0.0,0.0,14.73,329.023,0.0,0.0,0.0,0.0,0.0,0.0,15.433,334.238,6.394,115.889,9.039,218.349,99.767,99.767,0.0,0.0,0.0,0.0,0.0,378.722,1000062801,5.918,0.703,5.215,384.64,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50221068482,עיריית ראשון לציון - Lv - בית הלוי 4,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'342340399,LOW_VOLTAGE,43.65,0.0,49.352,823.495,52.52,52.52,21.76,18.21,0.0,0.0,50.1264,51.7005,12.809,10.082,12.079,49.352,823.495,0.0,0.0,0.0,0.0,0.0,0.0,24.738,425.751,0.0,0.0,0.0,0.0,0.0,0.0,25.92,432.5,10.739,149.958,15.181,282.541,99.767,99.767,0.0,0.0,0.0,0.0,0.0,485.459,1000062799,7.929,1.181,6.748,493.389,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50323164865,עיריית ראשון לציון - Lv - בן צבי יצחק 31 מועדון,עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'342797631,LOW_VOLTAGE,55.43,0.0,530.078,2113.453,39.61,35.26,21.76,18.21,0.0,0.0,37.2164,34.4406,16.266,28.013,12.059,530.078,2113.453,0.0,0.0,0.0,0.0,0.0,0.0,197.276,727.885,0.0,0.0,0.0,0.0,0.0,0.0,209.964,745.204,115.345,384.86,94.619,360.344,99.767,99.767,0.0,0.0,0.0,0.0,0.0,981.498,1000062923,30.007,12.688,17.319,1011.505,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50323164862,עיריית ראשון לציון - Lv - בן צבי יצחק מול 35,עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'342466160,LOW_VOLTAGE,55.43,0.0,557.332,1772.724,39.61,35.26,21.76,18.21,0.0,0.0,37.2164,34.4406,16.266,28.013,12.059,557.332,1772.724,0.0,0.0,0.0,0.0,0.0,0.0,207.419,610.536,0.0,0.0,0.0,0.0,0.0,0.0,220.759,625.062,121.275,322.813,99.484,302.249,99.767,99.767,0.0,0.0,0.0,0.0,0.0,874.292,1000062921,27.867,13.34,14.527,902.159,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50221059042,עיריית ראשון לציון - Lv - בר אברהם 5,עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'342026605,LOW_VOLTAGE,43.65,0.0,491.965,1726.261,39.61,35.26,21.76,18.21,0.0,0.0,37.2164,34.4406,12.809,28.013,12.059,491.965,1726.261,0.0,0.0,0.0,0.0,0.0,0.0,183.092,594.534,0.0,0.0,0.0,0.0,0.0,0.0,194.867,608.68,107.052,314.352,87.816,294.328,99.767,99.767,0.0,0.0,0.0,0.0,0.0,830.506,1000062787,25.922,11.776,14.146,856.428,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50221065107,עיריית ראשון לציון - Lv - ברית יוסף X20 מאור,עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'342480216,LOW_VOLTAGE,55.43,0.0,2110.558,6748.357,39.61,35.26,21.76,18.21,0.0,0.0,37.2164,34.4406,16.266,28.013,12.059,2110.558,6748.357,0.0,0.0,0.0,0.0,0.0,0.0,785.474,2324.171,0.0,0.0,0.0,0.0,0.0,0.0,835.992,2379.471,459.257,1228.876,376.735,1150.595,99.767,99.767,0.0,0.0,0.0,0.0,0.0,3165.983,1000062796,105.818,50.518,55.299,3271.8,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50322056351,עיריית ראשון לציון - Lv - גדולי ישראל 17,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'345463969,LOW_VOLTAGE,55.43,0.0,251.357,750.545,52.52,52.52,21.76,18.21,0.0,0.0,50.1264,51.7005,16.266,10.082,12.079,251.357,750.545,0.0,0.0,0.0,0.0,0.0,0.0,125.996,388.036,0.0,0.0,0.0,0.0,0.0,0.0,132.013,394.186,54.695,136.674,77.317,257.512,99.767,99.767,0.0,0.0,0.0,0.0,0.0,552.458,1000062843,12.167,6.016,6.15,564.625,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50322015326,עיריית ראשון לציון - Lv - גולדה מאיר 11,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'341912553,LOW_VOLTAGE,55.43,0.0,113.913,723.0,52.52,52.52,21.76,18.21,0.0,0.0,50.1264,51.7005,16.266,10.082,12.079,113.913,723.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1,373.795,0.0,0.0,0.0,0.0,0.0,0.0,59.827,379.72,24.787,131.658,35.04,248.061,99.767,99.767,0.0,0.0,0.0,0.0,0.0,469.322,1000062807,8.651,2.727,5.925,477.973,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50323118932,עיריית ראשון לציון - Lv - גולדה מאיר 17א,עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'342019889,LOW_VOLTAGE,55.43,0.0,479.443,2616.578,39.61,35.26,21.76,18.21,0.0,0.0,37.2164,34.4406,16.266,28.013,12.059,479.443,2616.578,0.0,0.0,0.0,0.0,0.0,0.0,178.431,901.164,0.0,0.0,0.0,0.0,0.0,0.0,189.907,922.605,104.327,476.479,85.581,446.127,99.767,99.767,0.0,0.0,0.0,0.0,0.0,1135.933,1000062881,32.917,11.476,21.442,1168.85,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50322025500,עיריית ראשון לציון - Lv - גלילי ישראל מאור-מכבי,עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'342761704,LOW_VOLTAGE,55.43,0.0,456.787,1386.818,39.61,35.26,21.76,18.21,0.0,0.0,37.2164,34.4406,16.266,28.013,12.059,456.787,1386.818,0.0,0.0,0.0,0.0,0.0,0.0,170.0,477.628,0.0,0.0,0.0,0.0,0.0,0.0,180.933,488.992,99.397,252.54,81.536,236.452,99.767,99.767,0.0,0.0,0.0,0.0,0.0,703.965,1000062820,22.298,10.934,11.364,726.263,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50322020901,עיריית ראשון לציון - Lv - דן 13,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'341809006,LOW_VOLTAGE,43.65,0.0,85.556,1933.856,52.52,52.52,21.76,18.21,0.0,0.0,50.1264,51.7005,12.809,10.082,12.079,85.556,1933.856,0.0,0.0,0.0,0.0,0.0,0.0,42.886,999.814,0.0,0.0,0.0,0.0,0.0,0.0,44.934,1015.661,18.617,352.155,26.317,663.506,99.915,99.915,0.0,0.0,0.0,0.0,0.0,1077.67,1000062822,17.895,2.048,15.847,1095.565,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50323133018,עיריית ראשון לציון - Lv - דרך המכבים 46א,עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'348265057,LOW_VOLTAGE,43.65,0.0,447.463,1782.622,39.61,35.26,21.76,18.21,0.0,0.0,37.2164,34.4406,12.809,28.013,12.059,447.463,1782.622,0.0,0.0,0.0,0.0,0.0,0.0,166.53,613.945,0.0,0.0,0.0,0.0,0.0,0.0,177.24,628.553,97.368,324.615,79.872,303.937,99.937,99.937,0.0,0.0,0.0,0.0,0.0,833.355,1000062909,25.318,10.71,14.608,858.674,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50323117244,עיריית ראשון לציון - Lv - דרך המכבים טוליפמן רמזור מאור 19 7244,עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'342265771,LOW_VOLTAGE,55.43,0.0,1029.064,3087.751,39.61,35.26,21.76,18.21,0.0,0.0,37.2164,34.4406,16.266,28.013,12.059,1029.064,3087.751,0.0,0.0,0.0,0.0,0.0,0.0,382.981,1063.438,0.0,0.0,0.0,0.0,0.0,0.0,407.612,1088.741,223.924,562.279,183.688,526.462,99.767,99.767,0.0,0.0,0.0,0.0,0.0,1502.757,1000062878,49.934,24.632,25.303,1552.691,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50322011427,עיריית ראשון לציון - Lv - ה' באייר 2,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'342452561,LOW_VOLTAGE,43.65,0.0,35.768,937.55,52.52,52.52,21.76,18.21,0.0,0.0,50.1264,51.7005,12.809,10.082,12.079,35.768,937.55,0.0,0.0,0.0,0.0,0.0,0.0,17.929,484.719,0.0,0.0,0.0,0.0,0.0,0.0,18.785,492.401,7.783,170.728,11.002,321.673,99.767,99.767,0.0,0.0,0.0,0.0,0.0,537.617,1000062805,8.539,0.856,7.683,546.156,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50322033344,עיריית ראשון לציון - Lv - ה' באייר 40,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'342451962,LOW_VOLTAGE,43.65,0.0,29.607,995.659,52.52,52.52,21.76,18.21,0.0,0.0,50.1264,51.7005,12.809,10.082,12.079,29.607,995.659,0.0,0.0,0.0,0.0,0.0,0.0,14.841,514.761,0.0,0.0,0.0,0.0,0.0,0.0,15.55,522.92,6.442,181.31,9.107,341.611,99.767,99.767,0.0,0.0,0.0,0.0,0.0,564.572,1000062824,8.868,0.709,8.159,573.439,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50322033267,עיריית ראשון לציון - Lv - ה' באייר 40א,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'342502956,LOW_VOLTAGE,43.65,0.0,43.562,931.023,52.52,52.52,21.76,18.21,0.0,0.0,50.1264,51.7005,12.809,10.082,12.079,43.562,931.023,0.0,0.0,0.0,0.0,0.0,0.0,21.836,481.344,0.0,0.0,0.0,0.0,0.0,0.0,22.879,488.973,9.479,169.539,13.4,319.434,99.767,99.767,0.0,0.0,0.0,0.0,0.0,538.15,1000062823,8.672,1.043,7.629,546.821,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50322012255,עיריית ראשון לציון - Lv - האורגן 2,עיריית ראשון לציון,,Residential,11.0,4.5,0.0,0.0,5,'342071582,LOW_VOLTAGE,43.65,0.0,82.961,1692.737,52.52,52.52,21.76,18.21,0.0,0.0,50.1264,51.7005,12.809,10.082,12.079,82.961,1692.737,0.0,0.0,0.0,0.0,0.0,0.0,41.585,875.154,0.0,0.0,0.0,0.0,0.0,0.0,43.571,889.025,18.052,308.247,25.519,580.778,99.767,99.767,0.0,0.0,0.0,0.0,0.0,951.709,1000062810,15.857,1.986,13.871,967.566,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50221032607,עיריית ראשון לציון - Lv - הבוצרים 2,עיריית ראשון לציון,,Streetlight,11.0,4.5,0.0,0.0,5,'342335722,LOW_VOLTAGE,17.32,0.0,150.317,504.175,51.16,51.16,21.76,18.21,0.0,0.0,48.7664,50.3406,5.082,10.082,12.079,150.317,504.175,0.0,0.0,0.0,0.0,0.0,0.0,73.304,253.804,0.0,0.0,0.0,0.0,0.0,0.0,76.902,257.936,32.709,91.81,44.193,166.126,99.767,99.767,0.0,0.0,0.0,0.0,0.0,354.352,1000062780,7.729,3.598,4.131,362.081,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50221061150,עיריית ראשון לציון - Lv - הבוצרים 21,עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'342092334,LOW_VOLTAGE,17.32,0.0,92.425,281.267,39.61,35.26,21.76,18.21,0.0,0.0,37.2164,34.4406,5.082,28.013,12.059,92.425,281.267,0.0,0.0,0.0,0.0,0.0,0.0,34.397,96.87,0.0,0.0,0.0,0.0,0.0,0.0,36.61,99.175,20.112,51.219,16.498,47.956,99.767,99.767,0.0,0.0,0.0,0.0,0.0,176.422,1000062790,4.517,2.212,2.305,180.939,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50323119075,עיריית ראשון לציון - Lv - הגת 13,עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'341709637,LOW_VOLTAGE,43.65,0.0,112.711,1655.447,39.61,35.26,21.76,18.21,0.0,0.0,37.2164,34.4406,12.809,28.013,12.059,112.711,1655.447,0.0,0.0,0.0,0.0,0.0,0.0,41.947,570.145,0.0,0.0,0.0,0.0,0.0,0.0,44.645,583.711,24.526,301.457,20.119,282.254,99.767,99.767,0.0,0.0,0.0,0.0,0.0,664.973,1000062890,16.263,2.698,13.566,681.236,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50221061155,עיריית ראשון לציון - Lv - הדגן X9,עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'342332504,LOW_VOLTAGE,17.32,0.0,74.684,210.219,39.61,35.26,21.76,18.21,0.0,0.0,37.2164,34.4406,5.082,28.013,12.059,74.684,210.219,0.0,0.0,0.0,0.0,0.0,0.0,27.795,72.401,0.0,0.0,0.0,0.0,0.0,0.0,29.582,74.123,16.251,38.281,13.331,35.842,99.767,99.767,0.0,0.0,0.0,0.0,0.0,145.35,1000062792,3.51,1.788,1.723,148.86,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50323118308,עיריית ראשון לציון - Lv - ההכשרות 2,עיריית ראשון לציון,,TOU LV,11.0,4.5,0.0,0.0,5,'341997751,LOW_VOLTAGE,43.65,0.0,103.901,1414.154,39.61,35.26,21.76,18.21,0.0,0.0,37.2164,34.4406,12.809,28.013,12.059,103.901,1414.154,0.0,0.0,0.0,0.0,0.0,0.0,38.668,487.042,0.0,0.0,0.0,0.0,0.0,0.0,41.155,498.631,22.609,257.517,18.546,241.113,99.767,99.767,0.0,0.0,0.0,0.0,0.0,578.592,1000062877,14.075,2.487,11.588,592.667,
Spring/Fall,01/11/2024,30/11/2024,Sorek,'50322018222,עיריית ראשון לציון - Lv - ההרדוף גן ציבורי,עיריית ראשון לציון,,Streetlight,11.0,4.5,0.0,0.0,5,'345647424,LOW_VOLTAGE,55.43,0.0,4.208,38.046,51.16,51.16,21.76,18.21,0.0,0.0,48.7664,50.3406,16.266,10.082,12.079,4.208,38.046,0.0,0.0,0.0,0.0,0.0,0.0,2.052,19.153,0.0,0.0,0.0,0.0,0.0,0.0,2.153,19.464,0.916,6.928,1.237,12.536,99.767,99.767,0.0,0.0,0.0,0.0,0.0,59.631,1000062812,0.412,0.101,0.312,60.043,
