Season,From,To,Business entity,Meter IEC long number,Site name,Customer name,Site ID,Tariff ID,Discount from GC peak,Discount from GC off-peak,Discount from full tariff peak,Discount from full tariff off-peak,Priority,Contract number,Meter connection,KVA,Transformer unit,Peak consumption,Off-peak consumption,TOU tariff peak,TOU tariff off-peak,GC tariff peak,GC tariff off-peak,Minimum tariff peak,Minimum tariff off-peak,Tariff with discount peak,Tariff with discount off-peak,KVA cost,Distribution,Supply,Consumption with discount peak,Consumption with discount off-peak,Consumption without discount peak,Consumption without discount off-peak,Consumption without discount max consumption peak,Consumption without discount max consumption off-peak,Consumption without discount power plant constraint peak,Consumption without discount power plant constraint off-peak,Cost with discount peak,Cost with discount off-peak,Cost without discount peak,Cost without discount off-peak,Cost without discount max consumption peak,Cost without discount max consumption off-peak,Cost without discount power plant constraint peak,Cost without discount power plant constraints off-peak,Energy cost peak by TOU tariff,Energy cost off-peak by TOU tariff,Energy cost peak by GC tariff,Energy cost off-peak by GC tariff,Energy cost by infra and system tariffs peak,Energy cost by infra and system tariffs off-peak,Previous availability,Current availability,Guaranteed availability,Power factor fine,Various charges,Various credits,Total cost VAT,Total cost,Document number,Total discount (ILS),Total discount peak (ILS),Total discount off-peak (ILS),Total cost without discount,Invoice level
Winter,01/01/2025,31/01/2025,Sorek,'50323198315,עיריית ראשון לציון - Lv - אברבנאל 35 8315,עיריית ראשון לציון,CSiE-iy6DB5oLMVJ4cbBx,Residential,11.0,4.5,0.0,0.0,5,'341871353,LOW_VOLTAGE,17.32,1.0,22.641,460.967,54.25,54.25,68.86,18.36,0.0,0.0,46.6754,53.4238,5.207,11.333,0.0,22.641,460.967,0.0,0.0,0.0,0.0,0.0,0.0,10.568,246.266,0.0,0.0,0.0,0.0,0.0,0.0,12.283,250.075,15.591,84.634,-3.308,165.441,100.0,100.0,0.0,0.0,0.0,0.0,49.207,273.375,1000093043,5.523,1.715,3.809,278.898,
Winter,01/01/2025,31/01/2025,Sorek,'50323536151,עיריית ראשון לציון - Lv - אהרון הכהן 14 מאחור מזרקה,עיריית ראשון לציון,yPZScEwbo2y2z_g-QsScj,TOU LV,11.0,4.5,0.0,0.0,5,'341861533,LOW_VOLTAGE,55.43,1.0,495.41,1206.664,102.3,38.62,68.86,18.36,0.0,0.0,94.7254,37.7938,16.665,31.482,13.555,495.41,1206.664,0.0,0.0,0.0,0.0,0.0,0.0,469.279,456.044,0.0,0.0,0.0,0.0,0.0,0.0,506.804,466.014,341.139,221.544,165.665,244.47,100.0,100.0,0.0,0.0,0.0,0.0,177.665,987.026,1000093174,47.495,37.525,9.969,1034.521,
Winter,01/01/2025,31/01/2025,Sorek,'50221027753,"עיריית ראשון לציון - Lv - אח""י להב 1",עיריית ראשון לציון,GtA_6YXzXtwrjEE3wxK_A,Residential,11.0,4.5,0.0,0.0,5,'341777017,LOW_VOLTAGE,55.43,1.0,45.784,1134.43,54.25,54.25,68.86,18.36,0.0,0.0,46.6754,53.4238,16.665,11.333,13.565,45.784,1134.43,0.0,0.0,0.0,0.0,0.0,0.0,21.37,606.056,0.0,0.0,0.0,0.0,0.0,0.0,24.838,615.428,31.527,208.281,-6.689,407.147,100.0,100.0,0.0,0.0,0.0,0.0,120.418,668.989,1000093088,12.841,3.468,9.373,681.83,
Winter,01/01/2025,31/01/2025,Sorek,'6722004727,עיריית ראשון לציון - Lv - אלחנן Xסחרוב רמזו 135,עיריית ראשון לציון,qtvlk5HQ8VuDY0b-oXUXT,TOU LV,11.0,4.5,0.0,0.0,5,'342483663,LOW_VOLTAGE,9.2,1.0,63.703,241.722,102.3,38.62,68.86,18.36,0.0,0.0,94.7254,37.7938,2.766,31.482,13.555,63.703,241.722,0.0,0.0,0.0,0.0,0.0,0.0,60.343,91.356,0.0,0.0,0.0,0.0,0.0,0.0,65.168,93.353,43.866,44.38,21.302,48.973,100.0,100.0,0.0,0.0,0.0,0.0,35.91,199.502,1000093016,6.822,4.825,1.997,206.325,
Winter,01/01/2025,31/01/2025,Sorek,'50323538187,"עיריית ראשון לציון - Lv - אלקלעי ע""י 10 פינת מולכו",עיריית ראשון לציון,LCeAD7LmNAw9oN7bR5MPU,TOU LV,11.0,4.5,0.0,0.0,5,'341788497,LOW_VOLTAGE,55.43,1.0,1747.24,3200.116,102.3,38.62,68.86,18.36,0.0,0.0,94.7254,37.7938,16.665,31.482,13.555,1747.24,3200.116,0.0,0.0,0.0,0.0,0.0,0.0,1655.08,1209.445,0.0,0.0,0.0,0.0,0.0,0.0,1787.427,1235.885,1203.149,587.541,584.277,648.344,100.0,100.0,0.0,0.0,0.0,0.0,526.721,2926.228,1000093090,158.786,132.346,26.439,3085.014,
Winter,01/01/2025,31/01/2025,Sorek,'51019029211,"עיריית ראשון לציון - Lv - אנה פרנק ע""י 34",עיריית ראשון לציון,9RxN9ewkHReKHEtNAkwlB,TOU LV,11.0,4.5,0.0,0.0,5,'342550371,LOW_VOLTAGE,55.43,1.0,2370.158,3316.56,102.3,38.62,68.86,18.36,0.0,0.0,94.7254,37.7938,16.665,31.482,13.555,2370.158,3316.56,0.0,0.0,0.0,0.0,0.0,0.0,2245.142,1253.454,0.0,0.0,0.0,0.0,0.0,0.0,2424.672,1280.855,1632.091,608.92,792.581,671.935,100.0,100.0,0.0,0.0,0.0,0.0,640.854,3560.299,1000093075,206.931,179.53,27.401,3767.23,
Winter,01/01/2025,31/01/2025,Sorek,'73719008071,עיריית ראשון לציון - Lv - אריק איינשטיין 12/1,עיריית ראשון לציון,5G_JWPBqKGeQ-YZLRJIFw,TOU LV,11.0,4.5,0.0,0.0,5,'346749992,LOW_VOLTAGE,110.85,5.0,147.8,3423.4,102.3,38.62,68.86,18.36,0.0,0.0,94.7254,37.7938,33.328,145.029,105.607,147.8,3423.4,0.0,0.0,0.0,0.0,0.0,0.0,140.004,1293.833,0.0,0.0,0.0,0.0,0.0,0.0,151.199,1322.117,101.775,628.536,49.424,693.581,100.0,100.0,0.0,0.0,0.0,0.0,309.204,1717.801,1000093147,39.479,11.195,28.284,1757.281,
Winter,01/01/2025,31/01/2025,Sorek,'50323200175,"עיריית ראשון לציון - Lv - ביל""ו X56",עיריית ראשון לציון,42ioHez6EVgF89AUQw9SR,TOU LV,11.0,4.5,0.0,0.0,5,'341684115,LOW_VOLTAGE,43.65,1.0,724.573,1276.421,102.3,38.62,68.86,18.36,0.0,0.0,94.7254,37.7938,13.124,31.482,13.555,724.573,1276.421,0.0,0.0,0.0,0.0,0.0,0.0,686.355,482.408,0.0,0.0,0.0,0.0,0.0,0.0,741.238,492.954,498.941,234.351,242.297,258.603,100.0,100.0,0.0,0.0,0.0,0.0,220.846,1226.924,1000093170,65.429,54.884,10.546,1292.353,
Winter,01/01/2025,31/01/2025,Sorek,'50323211512,"עיריית ראשון לציון - Lv - ביל""ו ע""י 2 סמ' בנימין",עיריית ראשון לציון,WInd_i8dQ3upR9rlbdT_A,Streetlight,11.0,4.5,0.0,0.0,5,'342750229,LOW_VOLTAGE,55.43,1.0,330.828,605.012,53.81,53.81,68.86,18.36,0.0,0.0,46.2354,52.9838,16.665,11.333,13.565,330.828,605.012,0.0,0.0,0.0,0.0,0.0,0.0,152.96,320.558,0.0,0.0,0.0,0.0,0.0,0.0,178.019,325.557,227.808,111.08,-49.79,214.477,100.0,100.0,0.0,0.0,0.0,0.0,92.715,515.082,1000093168,30.058,25.059,4.999,545.139,
Winter,01/01/2025,31/01/2025,Sorek,'50221068480,עיריית ראשון לציון - Lv - בית הלוי 3,עיריית ראשון לציון,it-kNWOKGpCrXUDXDNJf6,Residential,11.0,4.5,0.0,0.0,5,'342072724,LOW_VOLTAGE,43.65,1.0,55.293,797.682,54.25,54.25,68.86,18.36,0.0,0.0,46.6754,53.4238,13.124,11.333,13.565,55.293,797.682,0.0,0.0,0.0,0.0,0.0,0.0,25.808,426.152,0.0,0.0,0.0,0.0,0.0,0.0,29.996,432.742,38.075,146.454,-8.078,286.288,100.0,100.0,0.0,0.0,0.0,0.0,88.197,489.982,1000093055,10.779,4.188,6.59,500.761,
