Season,From,To,Business entity,Meter IEC long number,Site name,Customer name,Site ID,Tariff ID,Discount from GC peak,Discount from GC off-peak,Discount from full tariff peak,Discount from full tariff off-peak,Priority,Contract number,Meter connection,KVA,Transformer unit,Peak consumption,Off-peak consumption,TOU tariff peak,TOU tariff off-peak,GC tariff peak,GC tariff off-peak,Minimum tariff peak,Minimum tariff off-peak,Tariff with discount peak,Tariff with discount off-peak,KVA cost,Distribution,Supply,Consumption with discount peak,Consumption with discount off-peak,Consumption without discount peak,Consumption without discount off-peak,Consumption without discount max consumption peak,Consumption without discount max consumption off-peak,Consumption without discount power plant constraint peak,Consumption without discount power plant constraint off-peak,Cost with discount peak,Cost with discount off-peak,Cost without discount peak,Cost without discount off-peak,Cost without discount max consumption peak,Cost without discount max consumption off-peak,Cost without discount power plant constraint peak,Cost without discount power plant constraints off-peak,Energy cost peak by TOU tariff,Energy cost off-peak by TOU tariff,Energy cost peak by GC tariff,Energy cost off-peak by GC tariff,Energy cost by infra and system tariffs peak,Energy cost by infra and system tariffs off-peak,Previous availability,Current availability,Guaranteed availability,Power factor fine,Various charges,Various credits,Total cost VAT,Total cost,Document number,Total discount (ILS),Total discount peak (ILS),Total discount off-peak (ILS),Total cost without discount,Invoice level
Winter,01/02/2025,28/02/2025,Sorek,'50323198315,עיריית ראשון לציון - Lv - אברבנאל 35 8315,עיריית ראשון לציון,CSiE-iy6DB5oLMVJ4cbBx,Residential,11.0,4.5,0.0,0.0,5,'341871353,LOW_VOLTAGE,17.32,1.0,21.321,479.37,54.25,54.25,68.86,18.36,0.0,0.0,46.6754,53.4238,4.703,10.236,0.0,16.883,329.154,4.438,150.216,0.0,0.0,4.438,150.216,7.88,175.847,2.408,81.492,0.0,0.0,2.408,81.492,11.567,260.058,14.682,88.012,-3.115,172.046,100.0,97.751,0.0,0.0,0.0,0.0,50.862,282.567,1000096631,3.998,1.279,2.719,286.565,
Winter,01/02/2025,28/02/2025,Sorek,'50323536151,עיריית ראשון לציון - Lv - אהרון הכהן 14 מאחור מזרקה,עיריית ראשון לציון,yPZScEwbo2y2z_g-QsScj,TOU LV,11.0,4.5,0.0,0.0,5,'341861533,LOW_VOLTAGE,55.43,1.0,436.712,1049.49,102.3,38.62,68.86,18.36,0.0,0.0,94.7254,37.7938,15.053,28.436,12.243,303.034,748.162,133.678,301.328,0.0,0.0,133.678,301.328,287.05,282.759,136.753,116.373,0.0,0.0,136.753,116.373,446.756,405.313,300.72,192.686,146.036,212.627,100.0,97.751,0.0,0.0,0.0,0.0,158.16,878.666,1000096775,29.135,22.954,6.181,907.801,
Winter,01/02/2025,28/02/2025,Sorek,'50221027753,"עיריית ראשון לציון - Lv - אח""י להב 1",עיריית ראשון לציון,GtA_6YXzXtwrjEE3wxK_A,Residential,11.0,4.5,0.0,0.0,5,'341777017,LOW_VOLTAGE,55.43,1.0,35.476,1302.566,54.25,54.25,68.86,18.36,0.0,0.0,46.6754,53.4238,15.053,10.236,12.252,22.815,871.508,12.661,431.058,0.0,0.0,12.661,431.058,10.649,465.593,6.869,233.849,0.0,0.0,6.869,233.849,19.246,706.642,24.429,239.151,-5.183,467.491,100.0,97.751,0.0,0.0,0.0,0.0,135.81,754.501,1000096683,8.929,1.728,7.2,763.429,
Winter,01/02/2025,28/02/2025,Sorek,'6722004727,עיריית ראשון לציון - Lv - אלחנן Xסחרוב רמזו 135,עיריית ראשון לציון,qtvlk5HQ8VuDY0b-oXUXT,TOU LV,11.0,4.5,0.0,0.0,5,'342483663,LOW_VOLTAGE,9.2,1.0,57.693,218.84,102.3,38.62,68.86,18.36,0.0,0.0,94.7254,37.7938,2.498,28.436,12.243,39.958,155.433,17.735,63.407,0.0,0.0,17.735,63.407,37.85,58.744,18.143,24.488,0.0,0.0,18.143,24.488,59.02,84.516,39.727,40.179,19.293,44.337,100.0,97.751,0.0,0.0,0.0,0.0,32.832,182.402,1000096599,4.311,3.027,1.284,186.713,
Winter,01/02/2025,28/02/2025,Sorek,'50323538187,"עיריית ראשון לציון - Lv - אלקלעי ע""י 10 פינת מולכו",עיריית ראשון לציון,LCeAD7LmNAw9oN7bR5MPU,TOU LV,11.0,4.5,0.0,0.0,5,'341788497,LOW_VOLTAGE,55.43,1.0,1474.316,2717.956,102.3,38.62,68.86,18.36,0.0,0.0,94.7254,37.7938,15.053,28.436,12.243,1035.324,1943.041,438.992,774.915,0.0,0.0,438.992,774.915,980.715,734.349,449.089,299.272,0.0,0.0,449.089,299.272,1508.225,1049.675,1015.214,499.017,493.011,550.658,100.0,97.751,0.0,0.0,0.0,0.0,453.448,2519.156,1000096682,94.475,78.422,16.053,2613.632,
Winter,01/02/2025,28/02/2025,Sorek,'51019029211,"עיריית ראשון לציון - Lv - אנה פרנק ע""י 34",עיריית ראשון לציון,9RxN9ewkHReKHEtNAkwlB,TOU LV,11.0,4.5,0.0,0.0,5,'342550371,LOW_VOLTAGE,55.43,1.0,2021.856,2879.645,102.3,38.62,68.86,18.36,0.0,0.0,94.7254,37.7938,15.053,28.436,12.243,1411.204,2044.824,610.652,834.821,0.0,0.0,610.652,834.821,1336.769,772.817,624.697,322.408,0.0,0.0,624.697,322.408,2068.359,1112.119,1392.25,528.703,676.109,583.416,100.0,97.751,0.0,0.0,0.0,0.0,560.236,3112.422,1000096667,123.787,106.893,16.894,3236.209,
Winter,01/02/2025,28/02/2025,Sorek,'73719008071,עיריית ראשון לציון - Lv - אריק איינשטיין 12/1,עיריית ראשון לציון,5G_JWPBqKGeQ-YZLRJIFw,TOU LV,11.0,4.5,0.0,0.0,5,'346749992,LOW_VOLTAGE,110.85,5.0,141.6,4040.65,102.3,38.62,68.86,18.36,0.0,0.0,94.7254,37.7938,30.103,130.994,95.387,98.8,2794.8,42.8,1245.85,0.0,0.0,42.8,1245.85,93.589,1056.261,43.784,481.147,0.0,0.0,43.784,481.147,144.857,1560.499,97.506,741.863,47.351,818.636,100.0,97.751,0.0,0.0,0.0,0.0,347.628,1931.265,1000096744,30.574,7.484,23.091,1961.84,
Winter,01/02/2025,28/02/2025,Sorek,'50323200175,"עיריית ראשון לציון - Lv - ביל""ו X56",עיריית ראשון לציון,42ioHez6EVgF89AUQw9SR,TOU LV,11.0,4.5,0.0,0.0,5,'341684115,LOW_VOLTAGE,43.65,1.0,608.334,1107.107,102.3,38.62,68.86,18.36,0.0,0.0,94.7254,37.7938,11.854,28.436,12.243,424.85,786.747,183.484,320.36,0.0,0.0,183.484,320.36,402.441,297.342,187.704,123.723,0.0,0.0,187.704,123.723,622.326,427.565,418.899,203.265,203.427,224.3,100.0,97.751,0.0,0.0,0.0,0.0,191.474,1063.742,1000096769,38.681,32.181,6.5,1102.423,
Winter,01/02/2025,28/02/2025,Sorek,'50323211512,"עיריית ראשון לציון - Lv - ביל""ו ע""י 2 סמ' בנימין",עיריית ראשון לציון,WInd_i8dQ3upR9rlbdT_A,Streetlight,11.0,4.5,0.0,0.0,5,'342750229,LOW_VOLTAGE,55.43,1.0,298.417,504.548,53.81,53.81,68.86,18.36,0.0,0.0,46.2354,52.9838,15.053,10.236,12.252,207.048,360.837,91.369,143.711,0.0,0.0,91.369,143.711,95.729,191.185,49.166,77.331,0.0,0.0,49.166,77.331,160.578,271.497,205.49,92.635,-44.912,178.862,100.0,97.751,0.0,0.0,0.0,0.0,81.172,450.953,1000096767,18.664,15.683,2.981,469.617,
Winter,01/02/2025,28/02/2025,Sorek,'50221068480,עיריית ראשון לציון - Lv - בית הלוי 3,עיריית ראשון לציון,it-kNWOKGpCrXUDXDNJf6,Residential,11.0,4.5,0.0,0.0,5,'342072724,LOW_VOLTAGE,43.65,1.0,37.092,866.143,54.25,54.25,68.86,18.36,0.0,0.0,46.6754,53.4238,11.854,10.236,12.252,26.021,598.941,11.071,267.202,0.0,0.0,11.071,267.202,12.145,319.977,6.006,144.957,0.0,0.0,6.006,144.957,20.122,469.883,25.542,159.024,-5.419,310.859,100.0,97.751,0.0,0.0,0.0,0.0,93.137,517.428,1000096645,6.919,1.971,4.948,524.348,
Winter,01/02/2025,28/02/2025,Virtual,'50221032818,עיריית ראשון לציון - Lv - בית הערבה גן ציבורי,עיריית ראשון לציון,6XggxxnjyTIDzIRAeSoRQ,Streetlight,11.0,4.5,0.0,0.0,5,'345647257,LOW_VOLTAGE,55.43,1.0,0.0,0.004,53.81,53.81,68.86,18.36,0.0,0.0,46.2354,52.9838,15.053,10.236,12.252,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.0,0.001,100.0,100.0,0.0,0.0,0.0,0.0,6.758,37.544,1000094561,0.0,0.0,0.0,37.544,
Winter,01/02/2025,28/02/2025,Sorek,'6723102249,עיריית ראשון לציון - Lv - בלקינד שמשון Xירושלים,עיריית ראשון לציון,td3Bzg7cETk0007luiZuR,Residential,11.0,4.5,0.0,0.0,5,'342480009,LOW_VOLTAGE,9.2,1.0,52.652,200.016,54.25,54.25,68.86,18.36,0.0,0.0,46.6754,53.4238,2.498,8.837,12.308,36.507,142.101,16.145,57.915,0.0,0.0,16.145,57.915,17.04,75.916,8.759,31.419,0.0,0.0,8.759,31.419,28.564,108.509,36.256,36.723,-7.692,71.786,100.0,97.751,0.0,0.0,0.0,0.0,28.22,156.776,1000096635,3.939,2.765,1.174,160.716,
Winter,01/02/2025,28/02/2025,Sorek,'73614010689,עיריית ראשון לציון - Lv - בני יהודה 30 מאור,עיריית ראשון לציון,XNr8wc-b4j4xJRAkNp3YA,TOU LV,11.0,4.5,0.0,0.0,5,'342602244,LOW_VOLTAGE,69.28,1.0,1113.503,1451.675,102.3,38.62,68.86,18.36,0.0,0.0,94.7254,37.7938,18.814,130.994,95.387,772.581,1028.237,340.922,423.438,0.0,0.0,340.922,423.438,731.831,388.61,348.763,163.532,0.0,0.0,348.763,163.532,1139.114,560.637,766.758,266.528,372.355,294.109,100.0,97.751,0.0,0.0,0.0,0.0,338.027,1877.93,1000096782,67.015,58.52,8.495,1944.946,
Winter,01/02/2025,28/02/2025,Sorek,'6722004730,עיריית ראשון לציון - Lv - בסקינד נדב Xמשה דיין,עיריית ראשון לציון,nDOr2bS_YbmiXJQuv7WxB,TOU LV,11.0,4.5,0.0,0.0,5,'341807772,LOW_VOLTAGE,9.2,1.0,96.519,363.251,102.3,38.62,68.86,18.36,0.0,0.0,94.7254,37.7938,2.498,28.436,12.243,67.301,258.84,29.218,104.411,0.0,0.0,29.218,104.411,63.751,97.825,29.89,40.324,0.0,0.0,29.89,40.324,98.739,140.288,66.463,66.693,32.276,73.595,100.0,97.751,0.0,0.0,0.0,0.0,49.494,274.968,1000096622,7.236,5.098,2.139,282.204,
