Season,From,To,Business entity,Meter IEC long number,Site name,Customer name,Site ID,Tariff ID,Discount from GC peak,Discount from GC off-peak,Discount from full tariff peak,Discount from full tariff off-peak,Priority,Contract number,Meter connection,KVA,Transformer unit,Peak consumption,Off-peak consumption,TOU tariff peak,TOU tariff off-peak,GC tariff peak,GC tariff off-peak,Minimum tariff peak,Minimum tariff off-peak,Tariff with discount peak,Tariff with discount off-peak,KVA cost,Distribution,Supply,Consumption with discount peak,Consumption with discount off-peak,Consumption without discount peak,Consumption without discount off-peak,Consumption without discount max consumption peak,Consumption without discount max consumption off-peak,Consumption without discount power plant constraint peak,Consumption without discount power plant constraint off-peak,Cost with discount peak,Cost with discount off-peak,Cost without discount peak,Cost without discount off-peak,Cost without discount max consumption peak,Cost without discount max consumption off-peak,Cost without discount power plant constraint peak,Cost without discount power plant constraints off-peak,Energy cost peak by TOU tariff,Energy cost off-peak by TOU tariff,Energy cost peak by GC tariff,Energy cost off-peak by GC tariff,Energy cost by infra and system tariffs peak,Energy cost by infra and system tariffs off-peak,Previous availability,Current availability,Guaranteed availability,Power factor fine,Various charges,Various credits,Total cost VAT,Total cost,Document number,Total discount (ILS),Total discount peak (ILS),Total discount off-peak (ILS),Total cost without discount,Invoice level
Spring/Fall,01/03/2025,31/03/2025,Sorek,'50323198315,עיריית ראשון לציון - Lv - אברבנאל 35 8315,עיריית ראשון לציון,CSiE-iy6DB5oLMVJ4cbBx,Residential,11.0,4.5,0.0,0.0,5,'341871353,LOW_VOLTAGE,17.32,1.0,13.144,433.315,54.25,54.25,21.05,17.61,0.0,0.0,51.9345,53.4575,5.207,11.333,0.0,12.955,410.109,0.189,23.206,0.0,0.0,0.189,23.206,6.728,219.234,0.103,12.589,0.0,0.0,0.103,12.589,7.131,235.073,2.767,76.307,4.364,158.767,97.751,97.106,0.0,0.0,0.0,0.0,45.935,255.195,1000098571,3.55,0.3,3.25,258.745,Site
Spring/Fall,01/03/2025,31/03/2025,Sorek,'50323536151,עיריית ראשון לציון - Lv - אהרון הכהן 14 מאחור מזרקה,עיריית ראשון לציון,yPZScEwbo2y2z_g-QsScj,TOU LV,11.0,4.5,0.0,0.0,5,'341861533,LOW_VOLTAGE,55.43,1.0,326.029,1231.604,42.18,37.8,21.05,17.61,0.0,0.0,39.8645,37.0076,16.665,31.482,13.555,320.202,1125.769,5.827,105.835,0.0,0.0,5.827,105.835,127.647,416.62,2.458,40.005,0.0,0.0,2.458,40.005,137.519,465.546,68.629,216.885,68.89,248.661,97.751,97.106,0.0,0.0,0.0,0.0,116.718,648.433,1000098699,16.335,7.414,8.921,664.768,Site
Spring/Fall,01/03/2025,31/03/2025,Sorek,'50221027753,"עיריית ראשון לציון - Lv - אח""י להב 1",עיריית ראשון לציון,GtA_6YXzXtwrjEE3wxK_A,Residential,11.0,4.5,0.0,0.0,5,'341777017,LOW_VOLTAGE,55.43,1.0,29.16,752.25,54.25,54.25,21.05,17.61,0.0,0.0,51.9345,53.4575,16.665,11.333,13.565,28.009,681.593,1.151,70.657,0.0,0.0,1.151,70.657,14.546,364.363,0.625,38.331,0.0,0.0,0.625,38.331,15.819,408.096,6.138,132.471,9.681,275.624,97.751,97.106,0.0,0.0,0.0,0.0,82.697,459.429,1000098615,6.05,0.649,5.401,465.479,Site
Spring/Fall,01/03/2025,31/03/2025,Sorek,'6722004727,עיריית ראשון לציון - Lv - אלחנן Xסחרוב רמזו 135,עיריית ראשון לציון,qtvlk5HQ8VuDY0b-oXUXT,TOU LV,11.0,4.5,0.0,0.0,5,'342483663,LOW_VOLTAGE,9.2,1.0,45.043,258.911,42.18,37.8,21.05,17.61,0.0,0.0,39.8645,37.0076,2.766,31.482,13.555,44.148,237.507,0.895,21.404,0.0,0.0,0.895,21.404,17.599,87.895,0.378,8.091,0.0,0.0,0.378,8.091,18.999,97.868,9.482,45.594,9.518,52.274,97.751,97.106,0.0,0.0,0.0,0.0,29.118,161.767,1000098546,2.904,1.022,1.882,164.671,Site
Spring/Fall,01/03/2025,31/03/2025,Sorek,'50323538187,"עיריית ראשון לציון - Lv - אלקלעי ע""י 10 פינת מולכו",עיריית ראשון לציון,LCeAD7LmNAw9oN7bR5MPU,TOU LV,11.0,4.5,0.0,0.0,5,'341788497,LOW_VOLTAGE,55.43,1.0,1077.136,3224.683,42.18,37.8,21.05,17.61,0.0,0.0,39.8645,37.0076,16.665,31.482,13.555,1057.882,2952.837,19.254,271.846,0.0,0.0,19.254,271.846,421.719,1092.773,8.121,102.758,0.0,0.0,8.121,102.758,454.336,1218.93,226.737,567.867,227.599,651.063,97.751,97.106,0.0,0.0,0.0,0.0,303.673,1687.074,1000098616,47.895,24.495,23.4,1734.969,Site
Spring/Fall,01/03/2025,31/03/2025,Sorek,'51019029211,"עיריית ראשון לציון - Lv - אנה פרנק ע""י 34",עיריית ראשון לציון,9RxN9ewkHReKHEtNAkwlB,TOU LV,11.0,4.5,0.0,0.0,5,'342550371,LOW_VOLTAGE,55.43,1.0,1460.249,3601.669,42.18,37.8,21.05,17.61,0.0,0.0,39.8645,37.0076,16.665,31.482,13.555,1433.802,3296.337,26.447,305.332,0.0,0.0,26.447,305.332,571.578,1219.894,11.155,115.416,0.0,0.0,11.155,115.416,615.933,1361.431,307.382,634.254,308.551,727.177,97.751,97.106,0.0,0.0,0.0,0.0,356.354,1979.745,1000098602,59.322,33.2,26.122,2039.067,Site
Spring/Fall,01/03/2025,31/03/2025,Sorek,'73719008071,עיריית ראשון לציון - Lv - אריק איינשטיין 12/1,עיריית ראשון לציון,5G_JWPBqKGeQ-YZLRJIFw,TOU LV,11.0,4.5,0.0,0.0,5,'346749992,LOW_VOLTAGE,110.85,5.0,106.85,2648.8,42.18,37.8,21.05,17.61,0.0,0.0,39.8645,37.0076,33.328,145.029,105.607,105.27,2389.62,1.58,259.18,0.0,0.0,1.58,259.18,41.965,884.34,0.667,97.97,0.0,0.0,0.667,97.97,45.069,1001.246,22.492,466.454,22.577,534.793,97.751,97.106,0.0,0.0,0.0,0.0,235.603,1308.906,1000098668,21.374,2.438,18.937,1330.28,Site
Spring/Fall,01/03/2025,31/03/2025,Sorek,'50323200175,"עיריית ראשון לציון - Lv - ביל""ו X56",עיריית ראשון לציון,42ioHez6EVgF89AUQw9SR,TOU LV,11.0,4.5,0.0,0.0,5,'341684115,LOW_VOLTAGE,43.65,1.0,429.082,1325.686,42.18,37.8,21.05,17.61,0.0,0.0,39.8645,37.0076,13.124,31.482,13.555,421.606,1213.667,7.476,112.019,0.0,0.0,7.476,112.019,168.071,449.148,3.153,42.343,0.0,0.0,3.153,42.343,180.987,501.109,90.322,233.453,90.665,267.656,97.751,97.106,0.0,0.0,0.0,0.0,129.758,720.877,1000098693,19.38,9.762,9.618,740.257,Site
Spring/Fall,01/03/2025,31/03/2025,Sorek,'50323211512,"עיריית ראשון לציון - Lv - ביל""ו ע""י 2 סמ' בנימין",עיריית ראשון לציון,WInd_i8dQ3upR9rlbdT_A,Streetlight,11.0,4.5,0.0,0.0,5,'342750229,LOW_VOLTAGE,55.43,1.0,221.216,612.05,53.81,53.81,21.05,17.61,0.0,0.0,51.4945,53.0175,16.665,11.333,13.565,216.686,560.945,4.53,51.105,0.0,0.0,4.53,51.105,111.581,297.399,2.438,27.5,0.0,0.0,2.438,27.5,119.036,329.344,46.566,107.782,72.47,221.562,97.751,97.106,0.0,0.0,0.0,0.0,86.487,480.482,1000098691,9.463,5.017,4.445,489.944,Site
Spring/Fall,01/03/2025,31/03/2025,Sorek,'50221068480,עיריית ראשון לציון - Lv - בית הלוי 3,עיריית ראשון לציון,it-kNWOKGpCrXUDXDNJf6,Residential,11.0,4.5,0.0,0.0,5,'342072724,LOW_VOLTAGE,43.65,1.0,32.179,694.473,54.25,54.25,21.05,17.61,0.0,0.0,51.9345,53.4575,13.124,11.333,13.565,31.681,621.367,0.498,73.106,0.0,0.0,0.498,73.106,16.454,332.168,0.27,39.66,0.0,0.0,0.27,39.66,17.457,376.752,6.774,122.297,10.683,254.455,97.751,97.106,0.0,0.0,0.0,0.0,76.783,426.573,1000098583,5.658,0.734,4.924,432.231,Site
