Season,From,To,Business entity,Meter IEC long number,Site name,Customer name,Site ID,Tariff ID,Discount from GC peak,Discount from GC off-peak,Discount from full tariff peak,Discount from full tariff off-peak,Priority,Contract number,Meter connection,KVA,Transformer unit,Peak consumption,Off-peak consumption,TOU tariff peak,TOU tariff off-peak,GC tariff peak,GC tariff off-peak,Minimum tariff peak,Minimum tariff off-peak,Tariff with discount peak,Tariff with discount off-peak,KVA cost,Distribution,Supply,Consumption with discount peak,Consumption with discount off-peak,Consumption without discount peak,Consumption without discount off-peak,Consumption without discount max consumption peak,Consumption without discount max consumption off-peak,Consumption without discount power plant constraint peak,Consumption without discount power plant constraint off-peak,Cost with discount peak,Cost with discount off-peak,Cost without discount peak,Cost without discount off-peak,Cost without discount max consumption peak,Cost without discount max consumption off-peak,Cost without discount power plant constraint peak,Cost without discount power plant constraints off-peak,Energy cost peak by TOU tariff,Energy cost off-peak by TOU tariff,Energy cost peak by GC tariff,Energy cost off-peak by GC tariff,Energy cost by infra and system tariffs peak,Energy cost by infra and system tariffs off-peak,Previous availability,Current availability,Guaranteed availability,Power factor fine,Various charges,Various credits,Total cost VAT,Total cost,Document number,Total discount (ILS),Total discount peak (ILS),Total discount off-peak (ILS),Total cost without discount,Invoice level
Summer,01/08/2025,31/08/2025,Virtual,'50323198315,עיריית ראשון לציון - Lv - אברבנאל 35 8315,עיריית ראשון לציון,CSiE-iy6DB5oLMVJ4cbBx,Residential,11.0,4.5,0.0,0.0,5.0,'341871353,LOW_VOLTAGE,17.32,1.0,40.72,497.03,54.25,54.25,110.64,21.54,0.0,0.0,42.08,53.28,5.21,11.33,0.0,40.72,497.03,0.0,0.0,0.0,0.0,0.0,0.0,17.13,264.82,0.0,0.0,0.0,0.0,0.0,0.0,22.09,269.64,45.05,107.06,-22.96,162.58,96.91,96.91,92.0,0,0.0,0.0,53.73,298.49,1000123889.0,9.77,4.96,4.82,308.27,Site
Summer,01/08/2025,31/08/2025,Virtual,'50221027753,"עיריית ראשון לציון - Lv - אח""י להב 1",עיריית ראשון לציון,GtA_6YXzXtwrjEE3wxK_A,Residential,11.0,4.5,0.0,0.0,5.0,'341777017,LOW_VOLTAGE,55.43,1.0,53.03,750.83,54.25,54.25,110.64,21.54,0.0,0.0,42.08,53.28,16.66,11.33,13.56,53.03,750.83,0.0,0.0,0.0,0.0,0.0,0.0,22.32,400.05,0.0,0.0,0.0,0.0,0.0,0.0,28.77,407.32,58.67,161.73,-29.91,245.6,96.91,96.91,92.0,0,0.0,0.0,83.51,463.93,1000123922.0,13.73,6.45,7.28,477.66,Site
Summer,01/08/2025,31/08/2025,Virtual,'6722004727,עיריית ראשון לציון - Lv - אלחנן Xסחרוב רמזו 135,עיריית ראשון לציון,qtvlk5HQ8VuDY0b-oXUXT,TOU LV,11.0,4.5,0.0,0.0,5.0,'342483663,LOW_VOLTAGE,9.2,1.0,50.23,246.52,143.18,44.77,110.64,21.54,0.0,0.0,131.01,43.8,2.77,31.48,13.55,50.23,246.52,0.0,0.0,0.0,0.0,0.0,0.0,65.8,107.98,0.0,0.0,0.0,0.0,0.0,0.0,71.92,110.37,55.57,53.1,16.34,57.27,96.91,96.91,92.0,0,0.0,0.0,39.88,221.58,1000123863.0,8.5,6.11,2.39,230.09,Site
Summer,01/08/2025,31/08/2025,Virtual,'6723102249,עיריית ראשון לציון - Lv - בלקינד שמשון Xירושלים,עיריית ראשון לציון,td3Bzg7cETk0007luiZuR,Residential,11.0,4.5,0.0,0.0,5.0,'342480009,LOW_VOLTAGE,9.2,1.0,33.02,161.5,54.25,54.25,110.64,21.54,0.0,0.0,42.08,53.28,2.77,9.78,13.63,33.02,161.5,0.0,0.0,0.0,0.0,0.0,0.0,13.89,86.05,0.0,0.0,0.0,0.0,0.0,0.0,17.91,87.61,36.53,34.79,-18.62,52.83,96.91,96.91,92.0,0,0.0,0.0,22.7,126.12,1000123891.0,5.58,4.02,1.56,131.7,Site
Summer,01/08/2025,31/08/2025,Virtual,'51019023280,עיריית ראשון לציון - Lv - גיסין X10,עיריית ראשון לציון,4idwUXyBoOOtZyElSzXKm,TOU LV,11.0,4.5,0.0,0.0,5.0,'341663728,LOW_VOLTAGE,55.43,1.0,790.12,"2,647.07",143.18,44.77,110.64,21.54,0.0,0.0,131.01,43.8,16.66,31.48,13.55,790.12,"2,647.07",0.0,0.0,0.0,0.0,0.0,0.0,"1,035.13","1,159.43",0.0,0.0,0.0,0.0,0.0,0.0,"1,131.29","1,185.09",874.19,570.18,257.1,614.91,96.91,96.91,92.0,0,0.0,0.0,406.13,"2,256.27",1000123923.0,121.82,96.16,25.66,"2,378.09",Site
Summer,01/08/2025,31/08/2025,Virtual,'50323200174,עיריית ראשון לציון - Lv - גלילי ישראל התקומה מאור,עיריית ראשון לציון,bbK09IoLZLWCsp8MKiHll,TOU LV,11.0,4.5,0.0,0.0,5.0,'342476954,LOW_VOLTAGE,55.43,1.0,"1,849.46","6,042.42",143.18,44.77,110.64,21.54,0.0,0.0,131.01,43.8,16.66,31.48,13.55,"1,849.46","6,042.42",0.0,0.0,0.0,0.0,0.0,0.0,"2,422.98","2,646.62",0.0,0.0,0.0,0.0,0.0,0.0,"2,648.06","2,705.19","2,046.25","1,301.54",601.82,"1,403.65",96.91,96.91,92.0,0,0.0,0.0,923.63,"5,131.30",1000123901.0,283.66,225.09,58.57,"5,414.96",Site
Summer,01/08/2025,31/08/2025,Virtual,'50323133018,עיריית ראשון לציון - Lv - דרך המכבים 46א,עיריית ראשון לציון,9TcwElwISBPlL2KXadrW4,TOU LV,11.0,4.5,0.0,0.0,5.0,'348265057,LOW_VOLTAGE,43.65,1.0,749.52,"3,170.97",143.18,44.77,110.64,21.54,0.0,0.0,131.01,43.8,13.12,31.48,13.55,749.52,"3,170.97",0.0,0.0,0.0,0.0,0.0,0.0,981.94,"1,388.91",0.0,0.0,0.0,0.0,0.0,0.0,"1,073.16","1,419.64",829.27,683.03,243.89,736.62,96.91,96.91,92.0,0,0.0,0.0,437.22,"2,429.01",1000123854.0,121.96,91.22,30.74,"2,550.96",Site
Summer,01/08/2025,31/08/2025,Virtual,'50323214832,עיריית ראשון לציון - Lv - החוחית 3,עיריית ראשון לציון,VnW-7a39nSfRyipUC9Hjt,Residential,11.0,4.5,0.0,0.0,5.0,'341714808,LOW_VOLTAGE,43.65,1.0,151.2,"1,172.45",54.25,54.25,110.64,21.54,0.0,0.0,42.08,53.28,13.12,11.33,13.56,151.2,"1,172.45",0.0,0.0,0.0,0.0,0.0,0.0,63.62,624.69,0.0,0.0,0.0,0.0,0.0,0.0,82.03,636.05,167.29,252.54,-85.26,383.51,96.91,96.91,92.0,0,0.0,0.0,130.74,726.33,1000123914.0,29.77,18.4,11.37,756.1,Site
Summer,01/08/2025,31/08/2025,Virtual,'50323536181,"עיריית ראשון לציון - Lv - המהר""ל מפרג /עובדיה",עיריית ראשון לציון,gFQt_1o0cjthi_9AA6G2f,TOU LV,11.0,4.5,0.0,0.0,5.0,'342658373,LOW_VOLTAGE,55.43,1.0,598.21,"1,985.71",143.18,44.77,110.64,21.54,0.0,0.0,131.01,43.8,16.66,31.48,13.55,598.21,"1,985.71",0.0,0.0,0.0,0.0,0.0,0.0,783.72,869.75,0.0,0.0,0.0,0.0,0.0,0.0,856.52,889,661.86,427.72,194.66,461.28,96.91,96.91,92.0,0,0.0,0.0,308.73,"1,715.17",1000123892.0,92.05,72.81,19.25,"1,807.22",Site
Summer,01/08/2025,31/08/2025,Virtual,'73922007881,עיריית ראשון לציון - Lv - הנורית 10,עיריית ראשון לציון,6nvVAX_zsUXKiDY-O_SID,TOU LV,11.0,4.5,0.0,0.0,5.0,'347581079,LOW_VOLTAGE,110.85,5.0,632.68,"4,825.04",143.18,44.77,110.64,21.54,0.0,0.0,131.01,43.8,33.33,145.03,105.61,632.68,"4,825.04",0.0,0.0,0.0,0.0,0.0,0.0,828.87,"2,113.40",0.0,0.0,0.0,0.0,0.0,0.0,905.87,"2,160.17",700,"1,039.31",205.87,"1,120.86",96.91,96.91,92.0,0,0.0,0.0,580.72,"3,226.24",1000123928.0,123.77,77,46.77,"3,350.01",Site
