Season,From,To,Business entity,Meter IEC long number,Site name,Customer name,Site ID,Tariff ID,Discount from GC peak,Discount from GC off-peak,Discount from full tariff peak,Discount from full tariff off-peak,Priority,Contract number,Meter connection,KVA,Transformer unit,Peak consumption,Off-peak consumption,TOU tariff peak,TOU tariff off-peak,GC tariff peak,GC tariff off-peak,Minimum tariff peak,Minimum tariff off-peak,Tariff with discount peak,Tariff with discount off-peak,KVA cost,Distribution,Supply,Consumption with discount peak,Consumption with discount off-peak,Consumption without discount peak,Consumption without discount off-peak,Consumption without discount max consumption peak,Consumption without discount max consumption off-peak,Consumption without discount power plant constraint peak,Consumption without discount power plant constraint off-peak,Cost with discount peak,Cost with discount off-peak,Cost without discount peak,Cost without discount off-peak,Cost without discount max consumption peak,Cost without discount max consumption off-peak,Cost without discount power plant constraint peak,Cost without discount power plant constraints off-peak,Energy cost peak by TOU tariff,Energy cost off-peak by TOU tariff,Energy cost peak by GC tariff,Energy cost off-peak by GC tariff,Energy cost by infra and system tariffs peak,Energy cost by infra and system tariffs off-peak,Previous availability,Current availability,Guaranteed availability,Power factor fine,Various charges,Various credits,Total cost VAT,Total cost,Document number,Total discount (ILS),Total discount peak (ILS),Total discount off-peak (ILS),Total cost without discount,Invoice level
Spring/Fall,01/10/2025,31/10/2025,Virtual,'50323198315,עיריית ראשון לציון - Lv - אברבנאל 35 8315,עיריית ראשון לציון,CSiE-iy6DB5oLMVJ4cbBx,Residential,11,4.5,0,0,5,'341871353,LOW_VOLTAGE,17.32,1,13.39,473.37,54.25,54.25,21.05,17.61,0,0,51.93,53.46,5.21,11.33,0,13.39,473.37,0,0,0,0,0,0,6.96,253.05,0,0,0,0,0,0,7.26,256.8,2.82,83.36,4.45,173.44,96.91,96.91,92,0,0,0,49.78,276.55,1000134758,4.06,0.31,3.75,280.61,Site
Spring/Fall,01/10/2025,31/10/2025,Virtual,'50221027753,"עיריית ראשון לציון - Lv - אח""י להב 1",עיריית ראשון לציון,GtA_6YXzXtwrjEE3wxK_A,Residential,11,4.5,0,0,5,'341777017,LOW_VOLTAGE,55.43,1,20.68,902.71,54.25,54.25,21.05,17.61,0,0,51.93,53.46,16.66,11.33,13.56,20.68,902.71,0,0,0,0,0,0,10.74,482.57,0,0,0,0,0,0,11.22,489.72,4.35,158.97,6.86,330.75,96.91,96.91,92,0,0,0,96.28,534.87,1000134789,7.63,0.48,7.15,542.5,Site
Spring/Fall,01/10/2025,31/10/2025,Virtual,'6722004727,עיריית ראשון לציון - Lv - אלחנן Xסחרוב רמזו 135,עיריית ראשון לציון,qtvlk5HQ8VuDY0b-oXUXT,TOU LV,11,4.5,0,0,5,'342483663,LOW_VOLTAGE,9.2,1,31.92,265.39,42.18,37.8,21.05,17.61,0,0,39.86,37.01,2.77,31.48,13.55,31.92,265.39,0,0,0,0,0,0,12.72,98.22,0,0,0,0,0,0,13.46,100.32,6.72,46.74,6.74,53.58,96.91,96.91,92,0,0,0,28.57,158.74,1000134729,2.84,0.74,2.1,161.58,Site
Spring/Fall,01/10/2025,31/10/2025,Virtual,'6723102249,עיריית ראשון לציון - Lv - בלקינד שמשון Xירושלים,עיריית ראשון לציון,td3Bzg7cETk0007luiZuR,Residential,11,4.5,0,0,5,'342480009,LOW_VOLTAGE,9.2,1,21.16,175.15,54.25,54.25,21.05,17.61,0,0,51.93,53.46,2.77,9.78,13.63,21.16,175.15,0,0,0,0,0,0,10.99,93.63,0,0,0,0,0,0,11.48,95.02,4.46,30.84,7.03,64.17,96.91,96.91,92,0,0,0,23.54,130.8,1000134761,1.88,0.49,1.39,132.68,Site
Spring/Fall,01/10/2025,31/10/2025,Virtual,'51019023280,עיריית ראשון לציון - Lv - גיסין X10,עיריית ראשון לציון,4idwUXyBoOOtZyElSzXKm,TOU LV,11,4.5,0,0,5,'341663728,LOW_VOLTAGE,55.43,1,699.74,"3,363.69",42.18,37.8,21.05,17.61,0,0,39.86,37.01,16.66,31.48,13.55,699.74,"3,363.69",0,0,0,0,0,0,278.95,"1,244.82",0,0,0,0,0,0,295.15,"1,271.47",147.3,592.35,147.85,679.13,96.91,96.91,92,0,0,0,285.38,"1,585.47",1000134792,42.86,16.2,26.66,"1,628.33",Site
Spring/Fall,01/10/2025,31/10/2025,Virtual,'50323200174,עיריית ראשון לציון - Lv - גלילי ישראל התקומה מאור,עיריית ראשון לציון,bbK09IoLZLWCsp8MKiHll,TOU LV,11,4.5,0,0,5,'342476954,LOW_VOLTAGE,55.43,1,"1,572.83","7,470.86",42.18,37.8,21.05,17.61,0,0,39.86,37.01,16.66,31.48,13.55,"1,572.83","7,470.86",0,0,0,0,0,0,627,"2,764.78",0,0,0,0,0,0,663.42,"2,823.99",331.08,"1,315.62",332.34,"1,508.37",96.91,96.91,92,0,0,0,621.63,"3,453.49",1000134770,95.62,36.42,59.2,"3,549.11",Site
Spring/Fall,01/10/2025,31/10/2025,Virtual,'50323133018,עיריית ראשון לציון - Lv - דרך המכבים 46א,עיריית ראשון לציון,9TcwElwISBPlL2KXadrW4,TOU LV,11,4.5,0,0,5,'348265057,LOW_VOLTAGE,43.65,1,326.52,"1,543.14",42.18,37.8,21.05,17.61,0,0,39.86,37.01,13.12,31.48,13.55,326.52,"1,543.14",0,0,0,0,0,0,130.17,571.08,0,0,0,0,0,0,137.73,583.31,68.73,271.75,69,311.56,96.91,96.91,92,0,0,0,136.69,759.41,1000134731,19.79,7.56,12.23,779.2,Site
Spring/Fall,01/10/2025,31/10/2025,Virtual,'50323214832,עיריית ראשון לציון - Lv - החוחית 3,עיריית ראשון לציון,VnW-7a39nSfRyipUC9Hjt,Residential,11,4.5,0,0,5,'341714808,LOW_VOLTAGE,43.65,1,85.32,"1,104.73",54.25,54.25,21.05,17.61,0,0,51.93,53.46,13.12,11.33,13.56,85.32,"1,104.73",0,0,0,0,0,0,44.31,590.56,0,0,0,0,0,0,46.29,599.32,17.96,194.54,28.33,404.77,96.91,96.91,92,0,0,0,121.12,672.89,1000134783,10.73,1.98,8.75,683.62,Site
Spring/Fall,01/10/2025,31/10/2025,Virtual,'50323536181,"עיריית ראשון לציון - Lv - המהר""ל מפרג /עובדיה",עיריית ראשון לציון,gFQt_1o0cjthi_9AA6G2f,TOU LV,11,4.5,0,0,5,'342658373,LOW_VOLTAGE,55.43,1,497.17,"2,471.14",42.18,37.8,21.05,17.61,0,0,39.86,37.01,16.66,31.48,13.55,497.17,"2,471.14",0,0,0,0,0,0,198.19,914.51,0,0,0,0,0,0,209.71,934.09,104.65,435.17,105.05,498.92,96.91,96.91,92,0,0,0,211.39,"1,174.40",1000134762,31.09,11.51,19.58,"1,205.50",Site
Spring/Fall,01/10/2025,31/10/2025,Virtual,'73922007881,עיריית ראשון לציון - Lv - הנורית 10,עיריית ראשון לציון,6nvVAX_zsUXKiDY-O_SID,TOU LV,11,4.5,0,0,5,'347581079,LOW_VOLTAGE,110.85,5,344.67,"2,892.39",42.18,37.8,21.05,17.61,0,0,39.86,37.01,33.33,145.03,105.61,344.67,"2,892.39",0,0,0,0,0,0,137.4,"1,070.40",0,0,0,0,0,0,145.38,"1,093.32",72.55,509.35,72.83,583.97,96.91,96.91,92,0,0,0,268.52,"1,491.77",1000134797,30.9,7.98,22.92,"1,522.67",Site
