Season,From,To,Business entity,Meter IEC long number,Site name,Customer name,Site ID,Tariff ID,Discount from GC peak,Discount from GC off-peak,Discount from full tariff peak,Discount from full tariff off-peak,Priority,Contract number,Meter connection,KVA,Transformer unit,Peak consumption,Off-peak consumption,TOU tariff peak,TOU tariff off-peak,GC tariff peak,GC tariff off-peak,Minimum tariff peak,Minimum tariff off-peak,Tariff with discount peak,Tariff with discount off-peak,KVA cost,Distribution,Supply,Consumption with discount peak,Consumption with discount off-peak,Consumption without discount peak,Consumption without discount off-peak,Consumption without discount max consumption peak,Consumption without discount max consumption off-peak,Consumption without discount power plant constraint peak,Consumption without discount power plant constraint off-peak,Cost with discount peak,Cost with discount off-peak,Cost without discount peak,Cost without discount off-peak,Cost without discount max consumption peak,Cost without discount max consumption off-peak,Cost without discount power plant constraint peak,Cost without discount power plant constraints off-peak,Energy cost peak by TOU tariff,Energy cost off-peak by TOU tariff,Energy cost peak by GC tariff,Energy cost off-peak by GC tariff,Energy cost by infra and system tariffs peak,Energy cost by infra and system tariffs off-peak,Previous availability,Current availability,Guaranteed availability,Power factor fine,Various charges,Various credits,Total cost VAT,Total cost,Document number,Total discount (ILS),Total discount peak (ILS),Total discount off-peak (ILS),Total cost without discount,Invoice level
Winter,01/12/2025,31/12/2025,Sorek,'50323198315,עיריית ראשון לציון - Lv - אברבנאל 35 8315,עיריית ראשון לציון,CSiE-iy6DB5oLMVJ4cbBx,General,11,4.5,0,0,5,'341871353,LOW_VOLTAGE,17.32,1,14.9,387.24,54.25,54.25,68.86,18.36,0,0,46.68,53.42,5.21,11.33,0,14.9,387.24,0,0,0,0,0,0,6.95,206.88,0,0,0,0,0,0,8.08,210.08,10.26,71.1,-2.18,138.98,96.91,96.91,92,0,0,0,41.47,230.37,1000141821,4.33,1.13,3.2,234.7,Site
Winter,01/12/2025,31/12/2025,Sorek,'50221027753,"עיריית ראשון לציון - Lv - אח""י להב 1",עיריית ראשון לציון,GtA_6YXzXtwrjEE3wxK_A,General,11,4.5,0,0,5,'341777017,LOW_VOLTAGE,55.43,1,55.79,968.23,54.25,54.25,68.86,18.36,0,0,46.68,53.42,16.66,11.33,13.56,55.79,968.23,0,0,0,0,0,0,26.04,517.27,0,0,0,0,0,0,30.27,525.27,38.42,177.77,-8.15,347.5,96.91,96.91,92,0,0,0,105.28,584.87,1000141849,12.22,4.23,8,597.1,Site
Winter,01/12/2025,31/12/2025,Sorek,'6722004727,עיריית ראשון לציון - Lv - אלחנן Xסחרוב רמזו 135,עיריית ראשון לציון,qtvlk5HQ8VuDY0b-oXUXT,TOU LV,11,4.5,0,0,5,'342483663,LOW_VOLTAGE,9.2,1,63.62,242.38,102.3,38.62,68.86,18.36,0,0,94.73,37.79,2.77,31.48,13.55,63.62,242.38,0,0,0,0,0,0,60.27,91.6,0,0,0,0,0,0,65.09,93.61,43.81,44.5,21.28,49.1,96.91,96.91,92,0,0,0,35.94,199.68,1000141801,6.82,4.82,2,206.5,Site
Winter,01/12/2025,31/12/2025,Sorek,'6723102249,עיריית ראשון לציון - Lv - בלקינד שמשון Xירושלים,עיריית ראשון לציון,td3Bzg7cETk0007luiZuR,General,11,4.5,0,0,5,'342480009,LOW_VOLTAGE,9.2,1,40.97,155.38,54.25,54.25,68.86,18.36,0,0,46.68,53.42,2.77,9.78,13.63,40.97,155.38,0,0,0,0,0,0,19.12,83.01,0,0,0,0,0,0,22.23,84.29,28.21,28.53,-5.99,55.77,96.91,96.91,92,0,0,0,23.1,128.31,1000141823,4.39,3.1,1.28,132.7,Site
Winter,01/12/2025,31/12/2025,Sorek,'6723052551,עיריית ראשון לציון - Lv - גולדה מאיר גלילי,עיריית ראשון לציון,RYTn3wVbRyWS9i8h3x6su,TOU LV,11,4.5,0,0,5,'342436487,LOW_VOLTAGE,9.2,1,110.73,379.44,102.3,38.62,68.86,18.36,0,0,94.73,37.79,2.77,31.48,13.55,110.73,379.44,0,0,0,0,0,0,104.89,143.41,0,0,0,0,0,0,113.28,146.54,76.25,69.67,37.03,76.88,92,92,92,0,0,-0.16,53.27,295.94,1000141842,11.52,8.39,3.13,307.46,Site
Winter,01/12/2025,31/12/2025,Sorek,'51019023280,עיריית ראשון לציון - Lv - גיסין X10,עיריית ראשון לציון,4idwUXyBoOOtZyElSzXKm,TOU LV,11,4.5,0,0,5,'341663728,LOW_VOLTAGE,55.43,1,"1,612.86","2,867.11",102.3,38.62,68.86,18.36,0,0,94.73,37.79,16.66,31.48,13.55,"1,612.86","2,867.11",0,0,0,0,0,0,"1,527.79","1,083.59",0,0,0,0,0,0,"1,649.96","1,107.28","1,110.62",526.4,539.34,580.88,96.91,96.91,92,0,0,0,481.15,"2,673.08",1000141852,145.86,122.17,23.69,"2,818.94",Site
Winter,01/12/2025,31/12/2025,Sorek,'50323200174,עיריית ראשון לציון - Lv - גלילי ישראל התקומה מאור,עיריית ראשון לציון,bbK09IoLZLWCsp8MKiHll,TOU LV,11,4.5,0,0,5,'342476954,LOW_VOLTAGE,55.43,1,"3,600.73","6,364.68",102.3,38.62,68.86,18.36,0,0,94.73,37.79,16.66,31.48,13.55,"3,600.73","6,364.68",0,0,0,0,0,0,"3,410.81","2,405.45",0,0,0,0,0,0,"3,683.55","2,458.04","2,479.46","1,168.55","1,204.08","1,289.48",96.91,96.91,92,0,0,0,"1,058.03","5,877.96",1000141829,325.33,272.74,52.59,"6,203.29",Site
Winter,01/12/2025,31/12/2025,Sorek,'50323133018,עיריית ראשון לציון - Lv - דרך המכבים 46א,עיריית ראשון לציון,9TcwElwISBPlL2KXadrW4,TOU LV,11,4.5,0,0,5,'348265057,LOW_VOLTAGE,43.65,1,308.12,"1,253.68",102.3,38.62,68.86,18.36,0,0,94.73,37.79,13.12,31.48,13.55,308.12,"1,253.68",0,0,0,0,0,0,291.87,473.81,0,0,0,0,0,0,315.21,484.17,212.18,230.18,103.04,254,96.91,96.91,92,0,0,0,148.29,823.85,1000141800,33.7,23.34,10.36,857.55,Site
Winter,01/12/2025,31/12/2025,Sorek,'50323214832,עיריית ראשון לציון - Lv - החוחית 3,עיריית ראשון לציון,VnW-7a39nSfRyipUC9Hjt,General,11,4.5,0,0,5,'341714808,LOW_VOLTAGE,43.65,1,89.76,"1,107.82",54.25,54.25,68.86,18.36,0,0,46.68,53.42,13.12,11.33,13.56,89.76,"1,107.82",0,0,0,0,0,0,41.9,591.84,0,0,0,0,0,0,48.7,600.99,61.81,203.4,-13.11,397.6,96.91,96.91,92,0,0,0,120.92,671.76,1000141844,15.95,6.8,9.15,687.71,Site
Winter,01/12/2025,31/12/2025,Sorek,'50323536181,"עיריית ראשון לציון - Lv - המהר""ל מפרג _עובדיה",עיריית ראשון לציון,gFQt_1o0cjthi_9AA6G2f,TOU LV,11,4.5,0,0,5,'342658373,LOW_VOLTAGE,55.43,1,"1,179.33","2,116.59",102.3,38.62,68.86,18.36,0,0,94.73,37.79,16.66,31.48,13.55,"1,179.33","2,116.59",0,0,0,0,0,0,"1,117.12",799.94,0,0,0,0,0,0,"1,206.45",817.42,812.08,388.61,394.37,428.82,96.91,96.91,92,0,0,0,356.18,"1,978.76",1000141825,106.82,89.33,17.49,"2,085.58",Site
Winter,01/12/2025,31/12/2025,Sorek,'73922007881,עיריית ראשון לציון - Lv - הנורית 10,עיריית ראשון לציון,6nvVAX_zsUXKiDY-O_SID,TOU LV,11,4.5,0,0,5,'347581079,LOW_VOLTAGE,110.85,5,457.28,"2,569.66",102.3,38.62,68.86,18.36,0,0,94.73,37.79,33.33,145.03,105.61,457.28,"2,569.66",0,0,0,0,0,0,433.16,971.17,0,0,0,0,0,0,467.8,992.4,314.88,471.79,152.91,520.61,96.91,96.91,92,0,0,0,303.89,"1,688.30",1000141857,55.87,34.64,21.23,"1,744.16",Site
Winter,01/12/2025,31/12/2025,Sorek,'73506063148,עיריית ראשון לציון - Lv - הרב נורוק 14,עיריית ראשון לציון,fYENbNiqO7Nf8QHrc9crR,TOU LV,11,4.5,0,0,5,'341762519,LOW_VOLTAGE,277.13,4,"1,673.70","8,099.60",102.3,38.62,68.86,18.36,0,0,94.73,37.79,83.32,145.03,105.61,"1,673.70","8,099.60",0,0,0,0,0,0,"1,585.42","3,061.15",0,0,0,0,0,0,"1,712.19","3,128.07","1,152.51","1,487.09",559.68,"1,640.98",96.91,96.91,92,0,0,0,896.49,"4,980.52",1000141846,193.69,126.78,66.92,"5,174.22",Site
Winter,01/12/2025,31/12/2025,Sorek,'6723052689,"עיריית ראשון לציון - Lv - הרצל ע""י 34 רמזור 12",עיריית ראשון לציון,16IqVP7bl-q7bmkMgNuvF,TOU LV,11,4.5,0,0,5,'342675867,LOW_VOLTAGE,9.2,1,52.15,170.55,102.3,38.62,68.86,18.36,0,0,94.73,37.79,2.77,31.48,13.55,52.15,170.55,0,0,0,0,0,0,49.4,64.46,0,0,0,0,0,0,53.35,65.87,35.91,31.31,17.44,34.55,96.91,96.91,92,0,0,0,29.1,161.66,1000141840,5.36,3.95,1.41,167.02,Site
Winter,01/12/2025,31/12/2025,Sorek,'50323185726,עיריית ראשון לציון - Lv - השומר _ירושלים מזרקה,עיריית ראשון לציון,OuFCtMX5gY1eBmQbNaTEY,General,11,4.5,0,0,5,'341991166,LOW_VOLTAGE,55.43,1,388.26,"1,191.64",54.25,54.25,68.86,18.36,0,0,46.68,53.42,16.66,11.33,13.56,388.26,"1,191.64",0,0,0,0,0,0,181.22,636.62,0,0,0,0,0,0,210.63,646.47,267.35,218.79,-56.72,427.68,96.91,96.91,92,0,0,0,154.69,859.4,1000141803,39.25,29.41,9.85,898.66,Site
Winter,01/12/2025,31/12/2025,Sorek,'73817001097,עיריית ראשון לציון - Lv - התזמורת 43,עיריית ראשון לציון,FdsDsQ8fIOQ_a-m-c2vKV,TOU LV,11,4.5,0,0,5,'342313979,LOW_VOLTAGE,346.41,6,"2,321.89","9,654.28",102.3,38.62,68.86,18.36,0,0,94.73,37.79,104.15,145.03,105.61,"2,321.89","9,654.28",0,0,0,0,0,0,"2,199.42","3,648.72",0,0,0,0,0,0,"2,375.29","3,728.48","1,598.85","1,772.53",776.44,"1,955.96",96.91,96.91,92,0,0,0,"1,116.53","6,202.92",1000141827,255.64,175.87,79.76,"6,458.56",Site
Winter,01/12/2025,31/12/2025,Sorek,'73922009639,עיריית ראשון לציון - Lv - ויניק 23,עיריית ראשון לציון,JzSxd484Orgzj_Fa6_mHp,TOU LV,11,4.5,0,0,5,'341971806,LOW_VOLTAGE,86.6,5,"1,572.32","3,705.75",102.3,38.62,68.86,18.36,0,0,94.73,37.79,26.04,145.03,105.61,"1,572.32","3,705.75",0,0,0,0,0,0,"1,489.39","1,400.54",0,0,0,0,0,0,"1,608.48","1,431.16","1,082.70",680.38,525.78,750.78,96.91,96.91,92,0,0,0,569.99,"3,166.60",1000141847,149.71,119.1,30.62,"3,316.32",Site
Winter,01/12/2025,31/12/2025,Sorek,'6723052686,עיריית ראשון לציון - Lv - ז'בוטינסקי רמזור 78 שד יובל,עיריית ראשון לציון,wqd8fz34u0Ju5o0Q44Kml,TOU LV,11,4.5,0,0,5,'342104232,LOW_VOLTAGE,9.2,1,149.85,505.72,102.3,38.62,68.86,18.36,0,0,94.73,37.79,2.77,31.48,13.55,149.85,505.72,0,0,0,0,0,0,141.94,191.13,0,0,0,0,0,0,153.29,195.31,103.19,92.85,50.11,102.46,96.91,96.91,92,0,0,0,68.56,380.88,1000141822,15.53,11.35,4.18,396.41,Site
Winter,01/12/2025,31/12/2025,Sorek,'50323119692,עיריית ראשון לציון - Lv - חיל השריון 13,עיריית ראשון לציון,LTEWccitnIoArIkhF8gu6,TOU LV,11,4.5,0,0,5,'342488116,LOW_VOLTAGE,55.43,1,759.68,"1,428.82",102.3,38.62,68.86,18.36,0,0,94.73,37.79,16.66,31.48,13.55,759.68,"1,428.82",0,0,0,0,0,0,719.61,540,0,0,0,0,0,0,777.15,551.81,523.11,262.33,254.04,289.48,96.91,96.91,92,0,0,0,237.84,"1,321.31",1000141814,69.35,57.54,11.8,"1,390.66",Site
Winter,01/12/2025,31/12/2025,Sorek,'51019023278,עיריית ראשון לציון - Lv - לוין מיכאל וחנה _12 מאור,עיריית ראשון לציון,k_4FQIS3y9PVCUAtcTt73,TOU LV,11,4.5,0,0,5,'341735481,LOW_VOLTAGE,43.65,1,742.87,"1,321.73",102.3,38.62,68.86,18.36,0,0,94.73,37.79,13.12,31.48,13.55,742.87,"1,321.73",0,0,0,0,0,0,703.68,499.53,0,0,0,0,0,0,759.95,510.45,511.54,242.67,248.41,267.78,96.91,96.91,92,0,0,0,227.05,"1,261.38",1000141855,67.19,56.27,10.92,"1,328.57",Site
Winter,01/12/2025,31/12/2025,Sorek,'6220002561,עיריית ראשון לציון - Lv - לישנסקי יוסף X ההגנה-רמזור 141-140,עיריית ראשון לציון,qBK8hDDUnfsX1GhW1qGXB,TOU LV,11,4.5,0,0,5,'341950135,LOW_VOLTAGE,9.2,1,114.47,433.18,102.3,38.62,68.86,18.36,0,0,94.73,37.79,2.77,31.48,13.55,114.47,433.18,0,0,0,0,0,0,108.43,163.71,0,0,0,0,0,0,117.1,167.29,78.82,79.53,38.28,87.76,96.91,96.91,92,0,0,0,57.59,319.95,1000141813,12.25,8.67,3.58,332.2,Site
Winter,01/12/2025,31/12/2025,Sorek,'50322058492,עיריית ראשון לציון - Lv - מבצע ברוש 2,עיריית ראשון לציון,5AvbZQZx6HUkoSJnN5dlV,General,11,4.5,0,0,5,'341838544,LOW_VOLTAGE,43.65,1,159.2,"1,329.28",54.25,54.25,68.86,18.36,0,0,46.68,53.42,13.12,11.33,13.56,159.2,"1,329.28",0,0,0,0,0,0,74.31,710.15,0,0,0,0,0,0,86.36,721.13,109.62,244.06,-23.26,477.08,96.91,96.91,92,0,0,0,148.05,822.48,1000141853,23.04,12.06,10.98,845.52,Site
Winter,01/12/2025,31/12/2025,Sorek,'51220127166,עיריית ראשון לציון - Lv - מבצע שלמה 4,עיריית ראשון לציון,GoO1VHukEBeESFGB7eVaf,General,11,4.5,0,0,5,'346279045,LOW_VOLTAGE,17.32,1,30.35,568.23,54.25,54.25,68.86,18.36,0,0,46.68,53.42,5.21,11.33,13.56,30.35,568.23,0,0,0,0,0,0,14.17,303.57,0,0,0,0,0,0,16.47,308.26,20.9,104.33,-4.43,203.94,96.91,96.91,92,0,0,0,62.61,347.84,1000141841,6.99,2.3,4.7,354.84,Site
Winter,01/12/2025,31/12/2025,Sorek,'50323198921,עיריית ראשון לציון - Lv - מורדי הגטאות 38,עיריית ראשון לציון,2Di3LhYgd4k8t8e-qdbXx,TOU LV,11,4.5,0,0,5,'341790442,LOW_VOLTAGE,17.32,1,"1,693.04",721.93,102.3,38.62,68.86,18.36,0,0,94.73,37.79,5.21,31.48,13.55,"1,693.04",721.93,0,0,0,0,0,0,"1,603.74",272.85,0,0,0,0,0,0,"1,731.98",278.81,"1,165.83",132.55,566.15,146.26,96.91,96.91,92,0,0,0,346.83,"1,926.83",1000141833,134.21,128.24,5.96,"2,061.04",Site
Winter,01/12/2025,31/12/2025,Sorek,'50323118935,"עיריית ראשון לציון - Lv - מעלה גמלא ע""י 19 מרכזית מאור E",עיריית ראשון לציון,oQv7MHfrrUxkAAfvUs82E,TOU LV,11,4.5,0,0,5,'342601894,LOW_VOLTAGE,55.43,1,435.21,769.11,102.3,38.62,68.86,18.36,0,0,94.73,37.79,16.66,31.48,13.55,435.21,769.11,0,0,0,0,0,0,412.25,290.68,0,0,0,0,0,0,445.22,297.03,299.69,141.21,145.53,155.82,96.91,96.91,92,0,0,0,137.63,764.63,1000141805,39.32,32.97,6.35,803.95,Site
Winter,01/12/2025,31/12/2025,Sorek,'73823003796,עיריית ראשון לציון - Lv - מעלה החמישה 25,עיריית ראשון לציון,xQfN0jcSSsAz05erADr12,TOU LV,11,4.5,0,0,5,'342130153,LOW_VOLTAGE,138.56,5,"1,131.64","1,700.13",102.3,38.62,68.86,18.36,0,0,94.73,37.79,41.66,145.03,105.61,"1,131.64","1,700.13",0,0,0,0,0,0,"1,071.95",642.54,0,0,0,0,0,0,"1,157.67",656.59,779.25,312.14,378.42,344.45,96.91,96.91,92,0,0,0,361.22,"2,006.79",1000141819,99.76,85.72,14.05,"2,106.55",Site
Winter,01/12/2025,31/12/2025,Sorek,'50323528111,עיריית ראשון לציון - Lv - עזרא 39 8111,עיריית ראשון לציון,srlQD2HpCIeBB5CeYOGf2,General,11,4.5,0,0,5,'341757535,LOW_VOLTAGE,17.32,1,49.33,342.35,54.25,54.25,68.86,18.36,0,0,46.68,53.42,5.21,11.33,13.56,49.33,342.35,0,0,0,0,0,0,23.02,182.89,0,0,0,0,0,0,26.76,185.72,33.97,62.85,-7.21,122.87,96.91,96.91,92,0,0,0,42.48,236.02,1000141798,6.57,3.74,2.83,242.59,Site
Winter,01/12/2025,31/12/2025,Sorek,'73922012870,עיריית ראשון לציון - Lv - ראול ולנברג 5,עיריית ראשון לציון,m4UCTtrRhWYz0PkLFgYx4,TOU LV,11,4.5,0,0,5,'348199052,LOW_VOLTAGE,277.13,5,759.58,"2,932.80",102.3,38.62,68.86,18.36,0,0,94.73,37.79,83.32,145.03,105.61,759.58,"2,932.80",0,0,0,0,0,0,719.51,"1,108.42",0,0,0,0,0,0,777.05,"1,132.65",523.05,538.46,254,594.18,96.91,96.91,92,0,0,0,389.14,"2,161.89",1000141808,81.77,57.53,24.23,"2,243.66",Site
Winter,01/12/2025,31/12/2025,Sorek,'6723061124,עיריית ראשון לציון - Lv - שד יצחק רבין נ-סיני,עיריית ראשון לציון,ttP7MdXTSy64SDUv5Dj8l,General,11,4.5,0,0,5,'342756447,LOW_VOLTAGE,9.2,1,63.82,235.8,54.25,54.25,68.86,18.36,0,0,46.68,53.42,2.77,9.78,13.63,63.82,235.8,0,0,0,0,0,0,29.79,125.97,0,0,0,0,0,0,34.62,127.92,43.95,43.29,-9.32,84.63,96.91,96.91,92,0,0,0,32.75,181.94,1000141830,6.78,4.83,1.95,188.72,Site
Winter,01/12/2025,31/12/2025,Sorek,'85310152837,עיריית ראשון לציון - Mv - גדולי ישראל 26,עיריית ראשון לציון,RRJz2w3ECI12rHlktqWWv,TOU MV,11,4.5,0,0,5,'341897221,MEDIUM_VOLTAGE,"1,219",20,"15,247.25","11,763.50",88.07,29.42,68.86,18.36,0,0,80.5,28.59,"2,773.61",452.76,143.71,"15,247.25","11,763.50",0,0,0,0,0,0,"12,273.33","3,363.63",0,0,0,0,0,0,"13,428.25","3,460.82","10,499.26","2,159.78","2,929","1,301.04",96.91,96.91,92,625.92,0,0,"3,533.93","19,632.97",1000141828,"1,252.11","1,154.92",97.19,"20,885.08",Site
Winter,01/12/2025,31/12/2025,Sorek,'73510076512,"עיריית ראשון לציון- החברה הכלכלית לראשון לציון - Lv - סמילנסקי, ראשון לציון",עיריית ראשון לציון,S4Srtwsgb5XoUDH7QGooL,TOU LV,11,4.5,0,0,5,'342427003,LOW_VOLTAGE,630.47,10,"5,263.41","18,652.34",102.3,38.62,68.86,18.36,0,0,94.73,37.79,189.56,145.03,105.61,"5,263.41","18,652.34",0,0,0,0,0,0,"4,985.78","7,049.43",0,0,0,0,0,0,"5,384.47","7,203.53","3,624.38","3,424.57","1,760.08","3,778.97",100,100,92,0,0,0,"2,245.57","12,475.40",1000141837,552.79,398.68,154.11,"13,028.19",Site
Winter,01/12/2025,31/12/2025,Sorek,'73719008071,עיריית ראשון לציון - Lv - אריק איינשטיין 12_1,עיריית ראשון לציון,5G_JWPBqKGeQ-YZLRJIFw,TOU LV,11,4.5,0,0,5,'346749992,LOW_VOLTAGE,110.85,5,150.3,"2,951.45",102.3,38.62,68.86,18.36,0,0,94.73,37.79,33.33,145.03,105.61,150.3,"2,951.45",0,0,0,0,0,0,142.37,"1,115.46",0,0,0,0,0,0,153.76,"1,139.85",103.5,541.89,50.26,597.96,96.91,96.91,92,0,0,0,277.52,"1,541.80",1000141890,35.77,11.38,24.39,"1,577.57",Site
Winter,01/12/2025,31/12/2025,Sorek,'50323200175,"עיריית ראשון לציון - Lv - ביל""ו X56",עיריית ראשון לציון,42ioHez6EVgF89AUQw9SR,TOU LV,11,4.5,0,0,5,'341684115,LOW_VOLTAGE,43.65,1,754.93,"1,347.29",102.3,38.62,68.86,18.36,0,0,94.73,37.79,13.12,31.48,13.55,754.93,"1,347.29",0,0,0,0,0,0,715.11,509.19,0,0,0,0,0,0,772.29,520.32,519.85,247.36,252.45,272.96,96.91,96.91,92,0,0,0,230.84,"1,282.46",1000141904,68.31,57.18,11.13,"1,350.78",Site
Winter,01/12/2025,31/12/2025,Sorek,'73614010689,עיריית ראשון לציון - Lv - בני יהודה 30 מאור,עיריית ראשון לציון,XNr8wc-b4j4xJRAkNp3YA,TOU LV,11,4.5,0,0,5,'342602244,LOW_VOLTAGE,69.28,1,"1,237.56",844.97,102.3,38.62,68.86,18.36,0,0,94.73,37.79,20.83,145.03,105.61,"1,237.56",844.97,0,0,0,0,0,0,"1,172.28",319.35,0,0,0,0,0,0,"1,266.02",326.33,852.18,155.14,413.84,171.19,96.91,96.91,92,0,0,0,317.36,"1,763.10",1000141913,100.72,93.74,6.98,"1,863.82",Site
Winter,01/12/2025,31/12/2025,Sorek,'50322015326,עיריית ראשון לציון - Lv - גולדה מאיר 11,עיריית ראשון לציון,cg43B8y9OS4m5IoME1Dx7,General,11,4.5,0,0,5,'341912553,LOW_VOLTAGE,55.43,1,171.54,870.53,54.25,54.25,68.86,18.36,0,0,46.68,53.42,16.66,11.33,13.56,171.54,870.53,0,0,0,0,0,0,80.07,465.07,0,0,0,0,0,0,93.06,472.26,118.12,159.83,-25.06,312.43,96.91,96.91,92,0,0,0,105.61,586.7,1000141900,20.19,12.99,7.19,606.89,Site
